subject,video,valence_changepoints,number_valence_changepoints,arousal_changepoints,number_arousal_changepoints,model,jump_value,penalty_value
1,1,"[3.75, 10.25, 44.5, 57.25, 67.0, 114.0, 124.75, 139.25]",8,"[10.0, 34.25, 50.5, 59.75, 115.25]",5,l2,5,1
1,2,"[7.5, 11.0, 21.5, 50.25, 80.5, 101.5]",6,"[27.25, 53.25, 102.75, 164.25]",4,l2,5,1
1,3,"[18.5, 52.75]",2,"[11.5, 37.0, 52.75, 71.5, 99.0]",5,l2,5,1
1,4,"[13.5, 34.75, 99.75, 140.0]",4,"[33.0, 50.5, 101.0, 141.0]",4,l2,5,1
1,5,"[8.5, 18.75, 24.75, 54.0, 58.0, 76.75, 107.0]",7,"[27.25, 79.5]",2,l2,5,1
1,6,[],0,"[5.0, 41.0, 49.5, 75.75, 99.75, 134.5]",6,l2,5,1
1,7,"[42.0, 58.25, 90.75, 115.25]",4,"[10.5, 42.0, 50.5, 56.25, 95.75, 115.5, 154.5, 162.75, 187.5]",9,l2,5,1
1,8,"[17.5, 62.75, 78.75, 98.25]",4,"[8.25, 65.25, 78.75, 98.5, 107.5, 111.5]",6,l2,5,1
10,1,"[32.0, 54.25, 87.25, 116.5, 144.5]",5,"[10.5, 35.75, 55.25, 82.5, 146.5, 158.5]",6,l2,5,1
10,2,"[23.25, 46.75, 122.5, 156.75]",4,[123.25],1,l2,5,1
10,3,[48.0],1,"[25.5, 52.5]",2,l2,5,1
10,4,[],0,"[4.5, 42.75, 112.25]",3,l2,5,1
10,5,"[6.5, 20.0, 138.25]",3,"[18.75, 46.75, 91.0]",3,l2,5,1
10,6,"[6.75, 137.0]",2,"[8.25, 48.75, 110.25, 125.5, 137.25]",5,l2,5,1
10,7,"[60.75, 72.0, 90.5, 118.0, 133.25, 153.75]",6,"[3.25, 16.25, 36.0, 42.0, 50.75, 56.75, 71.5, 90.75, 118.0, 132.0, 155.25]",11,l2,5,1
10,8,"[63.5, 70.25, 101.0, 111.5]",4,"[10.25, 19.0, 20.0, 69.25, 103.25]",5,l2,5,1
11,1,"[27.25, 77.0, 95.0, 110.25, 137.25, 147.0, 160.0]",7,"[96.0, 108.5]",2,l2,5,1
11,2,"[64.25, 132.5]",2,"[80.25, 116.5]",2,l2,5,1
11,3,"[34.75, 72.5, 99.0]",3,"[6.5, 19.75, 59.5, 96.75, 104.0]",5,l2,5,1
11,4,"[29.25, 48.0, 80.0]",3,"[16.5, 79.25, 123.75]",3,l2,5,1
11,5,"[7.25, 66.0, 100.0]",3,"[34.75, 49.75, 90.75, 100.75, 114.5]",5,l2,5,1
11,6,[],0,"[18.25, 114.25, 137.25]",3,l2,5,1
11,7,"[43.75, 114.75, 181.25]",3,"[24.75, 50.25, 85.0, 137.25, 152.5, 167.25]",6,l2,5,1
11,8,"[123.5, 141.5]",2,"[12.25, 28.75, 44.25, 56.25, 97.0]",5,l2,5,1
12,1,"[6.25, 139.5]",2,"[35.25, 68.25, 117.0, 138.25]",4,l2,5,1
12,2,"[106.0, 111.75, 140.75, 150.5, 165.0, 171.25]",6,"[112.75, 135.25, 165.0]",3,l2,5,1
12,3,[],0,"[23.5, 30.5, 56.75]",3,l2,5,1
12,4,"[43.5, 59.75]",2,[19.0],1,l2,5,1
12,5,"[10.5, 20.0, 139.0]",3,[],0,l2,5,1
12,6,"[16.25, 40.0, 51.75, 74.0, 79.0, 86.5, 135.75]",7,"[37.75, 48.25, 116.0, 131.75]",4,l2,5,1
12,7,"[59.75, 128.25, 141.5, 151.5, 189.5]",5,"[40.0, 58.5, 71.25, 89.0, 115.25, 120.25, 163.25, 173.75]",8,l2,5,1
12,8,"[14.25, 27.75, 51.0, 68.25, 76.75, 102.5]",6,"[18.5, 39.25, 77.75, 111.75]",4,l2,5,1
13,1,"[5.0, 18.75, 50.75, 77.25]",4,"[8.25, 30.75, 79.75, 144.25, 153.25]",5,l2,5,1
13,2,"[8.75, 39.5, 120.5, 135.75]",4,"[37.75, 53.0]",2,l2,5,1
13,3,"[51.25, 107.75]",2,"[30.5, 68.75]",2,l2,5,1
13,4,"[49.0, 91.5]",2,"[50.0, 91.25, 138.0]",3,l2,5,1
13,5,[36.0],1,"[35.75, 86.5, 123.25]",3,l2,5,1
13,6,[131.5],1,[],0,l2,5,1
13,7,"[44.5, 59.0, 62.25, 91.5, 125.0, 138.5, 168.75, 183.0]",8,"[43.0, 59.0, 62.25, 65.75, 90.75, 95.25, 137.5, 166.25, 182.25]",9,l2,5,1
