subject,video,valence_changepoints,number_valence_changepoints,arousal_changepoints,number_arousal_changepoints,model,jump_value,penalty_value
1,1,"[4.17, 7.0, 7.33, 13.67, 22.17, 23.83, 26.5, 28.17, 31.0, 32.5, 35.33, 39.17, 42.0, 44.17, 53.5, 54.17]",16,"[4.33, 6.67, 7.33, 13.5, 18.33, 19.67, 22.17, 23.33, 44.33, 47.33, 48.17, 53.0, 54.33]",13,l2,5,1
1,2,"[8.33, 12.83, 18.17, 22.33, 32.33, 49.83, 57.17, 59.5]",8,"[8.33, 22.17, 32.5, 47.17, 54.17, 57.33]",6,l2,5,1
1,3,"[7.33, 27.0, 35.5, 38.33, 45.33, 46.33]",6,"[4.5, 9.17, 21.33, 24.33, 29.17, 44.0, 46.33, 54.67]",8,l2,5,1
1,4,"[10.67, 13.0, 22.67, 23.83, 30.33, 50.67, 55.33, 56.5]",8,"[10.67, 22.67, 51.5, 56.5, 57.5]",5,l2,5,1
1,5,"[7.67, 9.33, 18.17]",3,"[9.5, 13.67, 17.5, 19.17, 30.33]",5,l2,5,1
1,6,"[3.83, 9.67, 14.67, 19.67, 30.83, 38.5, 58.33]",7,"[8.33, 15.33, 17.17, 17.83, 19.5, 28.5, 30.0, 30.83, 54.17, 58.0]",10,l2,5,1
1,7,"[3.83, 4.33, 9.67, 10.5, 24.67, 27.83, 32.0, 32.5, 36.67, 46.33]",10,"[5.0, 5.83, 9.67, 12.33, 15.17, 27.67, 29.5, 31.33, 42.0, 45.83, 47.67, 50.67]",12,l2,5,1
1,8,"[3.83, 9.83, 10.83, 11.83, 22.83, 25.17, 27.5]",7,"[4.17, 6.83, 7.33, 11.83, 19.5, 22.67, 25.67, 28.17, 30.17, 38.5, 56.83]",11,l2,5,1
10,1,"[3.33, 6.0, 20.5, 22.0, 25.17, 29.0, 34.33, 37.0]",8,"[3.33, 5.33, 20.67, 21.5, 34.17, 34.67, 36.0, 37.5]",8,l2,5,1
10,2,"[3.0, 7.17, 9.17, 15.67, 22.0, 28.33, 35.17]",7,"[3.0, 7.33, 9.33, 26.17, 41.33]",5,l2,5,1
10,3,"[4.5, 6.33, 37.33, 44.83, 52.0]",5,"[4.5, 18.5, 30.5, 37.5, 52.67]",5,l2,5,1
10,4,"[6.67, 10.0, 39.67, 53.0, 56.17]",5,"[6.67, 7.5, 17.83, 54.33]",4,l2,5,1
10,5,"[2.5, 4.5, 8.33, 48.83, 49.33, 54.67, 57.33]",7,"[2.5, 4.67, 6.83, 8.5, 9.0, 17.33, 23.0, 42.17, 48.83]",9,l2,5,1
10,6,[3.33],1,"[3.33, 10.0]",2,l2,5,1
10,7,"[4.33, 9.5, 17.0, 32.67, 42.67, 46.5, 50.67, 53.33]",8,"[4.17, 9.17, 11.17, 17.33, 31.5, 34.0, 35.0, 54.0]",8,l2,5,1
10,8,"[4.83, 14.83, 49.0, 50.17, 51.17, 57.17]",6,"[2.67, 3.0, 4.5, 22.67, 48.0, 49.67, 57.5]",7,l2,5,1
11,1,"[4.33, 4.5]",2,[4.5],1,l2,5,1
11,2,"[36.83, 42.67]",2,"[9.5, 9.67, 11.17, 11.83, 12.17, 12.83, 14.0, 21.67, 22.0, 22.33, 23.17, 23.33, 28.0, 28.17, 30.67, 31.5, 32.0, 32.33, 33.17, 34.33, 34.67, 36.83, 38.5, 39.17, 39.5, 40.0, 40.33, 41.5, 42.67, 49.83, 50.17, 51.5, 51.83, 53.83, 54.17, 57.17, 57.5, 58.67, 59.0, 59.5]",40,l2,5,1
11,3,"[6.67, 7.0]",2,"[6.67, 7.0, 29.33, 29.67, 46.67, 47.0, 50.33, 50.67, 51.17, 51.5, 58.67, 59.5]",12,l2,5,1
11,4,"[13.67, 18.17, 25.33, 25.67, 26.67, 27.33, 29.5, 29.83, 41.83, 42.0, 48.0, 48.33, 55.33, 55.67, 56.0, 56.33, 59.0, 59.17]",18,"[8.5, 8.67, 13.0, 14.5, 19.83, 26.67, 29.83]",7,l2,5,1
11,5,"[23.33, 30.67]",2,"[6.83, 8.33, 10.33, 12.0, 20.67, 21.0, 22.33, 23.5, 30.5, 37.67]",10,l2,5,1
11,6,"[19.5, 29.83, 47.67, 49.5]",4,"[0.5, 1.67, 3.67, 4.83, 10.0, 12.0, 16.33, 19.67, 29.83, 46.67, 47.67, 49.5]",12,l2,5,1
11,7,"[19.33, 22.33, 24.17, 26.17, 27.0, 30.67, 33.83, 35.5, 41.67, 47.83, 50.5, 51.0, 51.67, 52.17, 57.5, 57.83]",16,"[8.67, 9.0, 19.33, 22.33, 25.33, 26.17, 27.0, 30.67, 33.83, 35.5, 36.17, 37.33, 41.67, 42.83, 43.5, 44.17, 44.5, 45.0, 45.83, 46.67, 47.17, 47.83, 50.5, 51.0, 51.67, 52.17, 55.5, 55.83, 56.5, 56.83, 57.33, 57.83]",32,l2,5,1
11,8,"[6.83, 7.17, 9.83, 10.83, 11.33, 11.83, 12.5, 12.67, 15.17, 21.5, 24.83, 25.17, 29.67, 30.33, 43.67]",15,[],0,l2,5,1
12,1,"[4.67, 9.0, 35.33]",3,"[4.67, 9.0, 26.33, 37.67, 49.83]",5,l2,5,1
12,2,"[3.5, 38.33]",2,"[3.5, 38.67]",2,l2,5,1
12,3,"[4.5, 23.83, 36.0, 45.17, 48.83, 52.33, 54.5]",7,"[4.5, 24.83, 45.33, 48.67, 54.5]",5,l2,5,1
12,4,"[8.67, 14.0, 39.17, 54.0]",4,"[8.5, 10.0]",2,l2,5,1
