time,cr_v,cr_a
0.07,0.0,0.0
0.1,0.0,0.0
0.13,0.0,0.0
0.17,0.0,0.0
0.2,0.0,0.0
0.23,0.0,0.0
0.27,0.0,0.0
0.3,0.0,0.0
0.33,0.0,0.0
0.37,0.0,0.0
0.4,0.0,0.0
0.43,0.0,0.0
0.47,0.0,0.0
0.5,0.0,0.0
0.53,0.0,0.0
0.57,0.0,0.0
0.6,0.0,0.0
0.63,0.0,0.0
0.67,0.0,0.0
0.7,0.0,0.0
0.73,0.0,0.0
0.77,0.0,0.0
0.8,0.0,0.0
0.83,0.0,0.0
0.87,0.0,0.0
0.9,0.0,0.0
0.93,0.0,0.0
0.97,0.0,0.0
1.0,0.0,0.0
1.03,0.0,0.0
1.07,0.0,0.0
1.1,0.0,0.0
1.13,0.0,0.0
1.17,0.0,0.0
1.2,0.0,0.0
1.23,0.0,0.0
1.27,0.0,0.0
1.3,0.0,0.0
1.33,0.0,0.0
1.37,0.0,0.0
1.4,0.0,0.0
1.43,0.00015625,-0.0004375
1.47,0.005125,-0.0031875000000000002
1.5,0.010125,-0.006
1.53,0.01509375,-0.008812500000000001
1.57,0.0198125,-0.010375
1.6,0.024374999999999997,-0.00978125
1.63,0.02890625,-0.009156250000000001
1.67,0.033375,-0.00859375
1.7,0.03415625,-0.00709375
1.73,0.0343125,-0.00525
1.77,0.0344375,-0.0034062499999999987
1.8,0.0369375,-0.0010937499999999984
1.83,0.0401875,0.0010000000000000018
1.87,0.04340625,0.003093750000000002
1.9,0.04665625,0.005156250000000001
1.93,0.048343750000000005,0.005781249999999998
1.97,0.0495625,0.005968749999999998
2.0,0.05084375,0.0061249999999999985
2.03,0.05234375,0.006312499999999999
2.07,0.05184375,0.007031249999999999
2.1,0.05128125,0.0078125
2.13,0.05071874999999999,0.008562500000000002
2.17,0.0515,0.009374999999999998
2.2,0.05328125,0.009031250000000001
2.24,0.0550625,0.00865625
2.27,0.056874999999999995,0.0083125
2.3,0.0576875,0.00925
2.34,0.0581875,0.010468749999999999
2.37,0.05871875,0.01171875
2.4,0.05990625,0.011343750000000003
2.44,0.06321875,0.009968750000000004
2.47,0.0684375,0.006406250000000004
2.5,0.07390624999999999,0.002875
2.54,0.08687500000000001,0.006624999999999998
2.57,0.10162500000000001,0.01815625
2.6,0.1158125,0.0304375
2.64,0.1294375,0.04165624999999999
2.67,0.14140625,0.0378125
2.7,0.15390625,0.03334375
2.74,0.16634375,0.028874999999999998
2.77,0.17340625,0.026125
2.8,0.17378125,0.022406249999999996
2.84,0.17409375,0.019031249999999996
2.87,0.174125,0.015874999999999997
2.9,0.1775625,0.014249999999999995
2.94,0.18546875,0.013687499999999998
2.97,0.19328125,0.013156249999999998
3.0,0.200375,0.013031249999999998
3.04,0.20171875,0.012249999999999997
3.07,0.2015,0.010374999999999999
3.1,0.20128125,0.008531249999999997
3.14,0.2006875,0.006999999999999999
3.17,0.2008125,0.005937499999999998
3.2,0.20174999999999998,0.003218749999999996
3.24,0.20350000000000001,-0.0003437500000000003
3.27,0.20734375,-0.005687500000000002
3.3,0.21090625000000002,-0.010531250000000002
3.34,0.2143125,-0.015312500000000003
3.37,0.22221875,-0.019437500000000003
3.4,0.23296875,-0.021375
3.44,0.2433125,-0.02271875
3.47,0.25309375,-0.023843750000000004
3.5,0.25715625,-0.022562500000000006
3.54,0.2609375,-0.01934375
3.57,0.26446875000000003,-0.014968750000000003
3.6,0.26690625,-0.010593750000000002
3.64,0.26796875,-0.009906250000000002
3.67,0.26890625,-0.010125000000000002
3.7,0.26978125,-0.010343750000000002
3.74,0.273875,-0.010593750000000002
3.77,0.2808125,-0.010968750000000003
3.8,0.28784375,-0.011187500000000003
3.84,0.29471875,-0.011406250000000003
3.87,0.3016875,-0.011625000000000003
3.9,0.30843750000000003,-0.011687500000000003
3.94,0.31528125,-0.011656250000000003
3.97,0.3201875,-0.010187500000000006
4.0,0.32459375,-0.005437500000000001
4.04,0.3311875,-0.0007187500000000041
4.07,0.33815625,0.004124999999999993
4.1,0.34209375,0.008874999999999997
4.14,0.34584375,0.015781249999999997
