	Variable	Group1	Group2	t-statistic	p-value	Significance
0	Valence Mean	Phase 1 HP	Phase 1 HN	11.5	0.0	True
1	Valence Mean	Phase 1 HP	Phase 1 LP	-3.32	0.001	False
2	Valence Mean	Phase 1 HP	Phase 1 LN	6.32	0.0	True
3	Valence Mean	Phase 1 HP	Phase 2	5.41	0.0	True
4	Valence Mean	Phase 1 HN	Phase 1 HP	-11.5	0.0	True
5	Valence Mean	Phase 1 HN	Phase 1 LP	-21.1	0.0	True
6	Valence Mean	Phase 1 HN	Phase 1 LN	-4.97	0.0	True
7	Valence Mean	Phase 1 HN	Phase 2	-14.9	0.0	True
8	Valence Mean	Phase 1 LP	Phase 1 HP	3.32	0.001	False
9	Valence Mean	Phase 1 LP	Phase 1 HN	21.1	0.0	True
10	Valence Mean	Phase 1 LP	Phase 1 LN	11.93	0.0	True
11	Valence Mean	Phase 1 LP	Phase 2	14.47	0.0	True
12	Valence Mean	Phase 1 LN	Phase 1 HP	-6.32	0.0	True
13	Valence Mean	Phase 1 LN	Phase 1 HN	4.97	0.0	True
14	Valence Mean	Phase 1 LN	Phase 1 LP	-11.93	0.0	True
15	Valence Mean	Phase 1 LN	Phase 2	-4.94	0.0	True
16	Valence Mean	Phase 2	Phase 1 HP	-5.41	0.0	True
17	Valence Mean	Phase 2	Phase 1 HN	14.9	0.0	True
18	Valence Mean	Phase 2	Phase 1 LP	-14.47	0.0	True
19	Valence Mean	Phase 2	Phase 1 LN	4.94	0.0	True
20	Valence Standard Deviation	Phase 1 HP	Phase 1 HN	1.62	0.109	False
21	Valence Standard Deviation	Phase 1 HP	Phase 1 LP	1.58	0.117	False
22	Valence Standard Deviation	Phase 1 HP	Phase 1 LN	0.35	0.726	False
23	Valence Standard Deviation	Phase 1 HP	Phase 2	-13.96	0.0	True
24	Valence Standard Deviation	Phase 1 HN	Phase 1 HP	-1.62	0.109	False
25	Valence Standard Deviation	Phase 1 HN	Phase 1 LP	0.12	0.903	False
