,subject,video,valence_changepoints,number_valence_changepoints,arousal_changepoints,number_arousal_changepoints,model,jump_value,penalty_value,min_size
0,06,HN,[],0,"[15.25, 21.5, 25.25, 35.5, 41.5, 48.75, 55.0]",7,l2,5,1,20
1,06,HP,[],0,"[1.0, 2.0, 24.25, 39.5, 54.0]",5,l2,5,1,20
2,06,LN,[],0,"[7.0, 9.5]",2,l2,5,1,20
3,06,LP,[],0,"[1.0, 5.75, 29.25, 36.75, 54.0, 56.5]",6,l2,5,1,20
0,08,HN,"[1.0, 3.5, 13.5, 18.5, 26.75, 35.0]",6,"[5.0, 14.75]",2,l2,5,1,20
1,08,HP,[1.5],1,[1.75],1,l2,5,1,20
2,08,LN,"[1.25, 4.0, 16.75, 28.0]",4,[3.5],1,l2,5,1,20
3,08,LP,"[1.0, 2.0, 3.0, 10.25, 27.25]",5,"[2.0, 9.0, 27.75]",3,l2,5,1,20
0,10,HN,"[4.25, 7.25, 47.0]",3,"[4.25, 7.0, 10.25, 37.5, 55.5]",5,l2,5,1,20
1,10,HP,"[6.0, 8.25, 20.25, 21.75, 23.75, 26.75, 36.25, 43.75]",8,"[4.25, 5.5, 8.75, 20.5, 23.75, 26.75, 33.75, 43.25]",8,l2,5,1,20
2,10,LN,"[7.75, 28.0, 45.75]",3,"[5.75, 6.75]",2,l2,5,1,20
3,10,LP,"[3.75, 13.75, 56.25]",3,"[2.0, 3.75]",2,l2,5,1,20
0,12,HN,"[2.25, 5.5, 56.75]",3,"[7.5, 10.25, 21.25, 23.25, 36.75, 42.75, 48.25, 56.25]",8,l2,5,1,20
1,12,HP,"[3.0, 6.25, 12.5, 22.0, 25.5, 32.75, 41.75, 45.25, 48.5]",9,"[2.75, 4.75, 12.5, 57.25]",4,l2,5,1,20
2,12,LN,"[1.0, 6.25, 18.0, 31.75, 44.25]",5,"[30.25, 39.5, 46.0]",3,l2,5,1,20
3,12,LP,"[1.75, 14.5]",2,[],0,l2,5,1,20
0,14,HN,"[3.25, 17.25, 18.75, 54.25]",4,"[3.25, 16.75, 18.0, 22.25, 28.5, 35.25, 36.75, 45.25, 53.75]",9,l2,5,1,20
1,14,HP,"[1.75, 2.75]",2,"[1.75, 20.75, 27.25, 48.5, 54.25]",5,l2,5,1,20
2,14,LN,"[4.75, 16.5, 17.75, 37.0, 39.5, 50.25]",6,"[2.0, 8.5, 20.75, 40.5]",4,l2,5,1,20
3,14,LP,[],0,"[8.25, 45.0]",2,l2,5,1,20
0,16,HN,"[1.5, 5.5, 15.0, 19.0, 37.75, 39.5, 55.5]",7,"[1.5, 5.5, 15.0]",3,l2,5,1,20
1,16,HP,"[1.0, 2.5, 8.75, 21.75, 41.25]",5,"[1.5, 2.5]",2,l2,5,1,20
2,16,LN,"[1.25, 2.75, 5.5, 8.0, 36.75, 48.5]",6,"[2.0, 6.75, 8.0]",3,l2,5,1,20
3,16,LP,"[1.25, 3.75, 37.25]",3,"[2.75, 37.0, 38.0, 40.0, 54.25]",5,l2,5,1,20
0,18,HN,[8.0],1,"[8.0, 9.25, 20.0, 27.0]",4,l2,5,1,20
1,18,HP,[],0,"[1.75, 34.0]",2,l2,5,1,20
2,18,LN,[3.5],1,"[3.5, 5.0, 9.0, 32.5, 35.25]",5,l2,5,1,20
