rating_method,quadrant,cr_a_mean,cr_a_sd,cr_a_skew,cr_a_kurt,cr_angle_mean,cr_angle_sd,cr_angle_skew,cr_angle_kurt,cr_dist_mean,cr_dist_sd,cr_dist_skew,cr_dist_kurt,cr_v_mean,cr_v_sd,cr_v_skew,cr_v_kurt
Grid,HP,0.51,0.36,-1.16,2.01,1.03,1.02,-0.93,2.76,0.84,0.28,-0.06,-0.46,0.23,0.57,-0.68,-0.81
Grid,LP,-0.17,0.51,0.35,-0.67,-0.2,0.91,0.54,1.76,0.8,0.3,-0.24,-0.32,0.58,0.34,-1.26,1.44
Grid,LN,-0.3,0.46,0.6,-0.23,-0.93,1.99,0.99,-0.64,0.69,0.28,-0.18,-0.9,-0.31,0.39,0.7,0.35
Grid,HN,0.43,0.41,-0.76,0.21,1.71,1.71,-1.94,2.17,0.85,0.32,-0.28,-0.71,-0.6,0.34,1.17,1.22
Flubber,HP,0.55,0.51,-1.12,0.4,0.86,1.06,-0.61,1.42,1.07,0.26,-1.18,1.73,0.41,0.7,-0.82,-0.8
Flubber,LP,-0.62,0.52,1.52,1.59,-0.68,0.68,0.11,3.31,1.16,0.21,-1.15,2.36,0.74,0.42,-2.41,6.15
Flubber,LN,-0.7,0.5,1.81,2.37,-1.39,1.44,1.88,2.8,1.07,0.22,-0.98,1.91,-0.31,0.59,0.56,-0.69
Flubber,HN,0.31,0.63,-0.63,-0.75,0.92,2.27,-0.82,-1.14,1.07,0.24,-1.41,3.1,-0.72,0.43,1.97,3.53
Proprioceptive,HP,0.5,0.54,-1.08,0.49,0.81,1.17,-0.58,1.28,1.08,0.24,-1.14,2.12,0.39,0.73,-0.86,-0.83
Proprioceptive,LP,-0.38,0.61,0.64,-0.76,-0.44,0.74,0.13,0.85,1.08,0.23,-1.45,3.81,0.76,0.37,-1.81,3.14
Proprioceptive,LN,-0.66,0.5,1.62,2.09,-1.51,1.5,1.93,2.79,1.07,0.28,-1.24,1.54,-0.46,0.58,1.02,0.09
Proprioceptive,HN,0.33,0.63,-0.77,-0.55,1.03,2.14,-0.94,-0.86,1.03,0.27,-1.06,0.76,-0.64,0.47,1.61,2.13
