dataset,sj_id,quadrant,dimension,statistic,values
affectivevr,6.0,HP,valence,mean,0.8280987460179855
affectivevr,6.0,HP,valence,std,0.0508892565274132
affectivevr,6.0,HP,arousal,mean,0.8189173111032805
affectivevr,6.0,HP,arousal,std,0.1087066241818417
affectivevr,6.0,HP,distance,mean,1.1735359826998533
affectivevr,6.0,HP,distance,std,0.07861370953191524
affectivevr,6.0,HP,angle,mean,0.7722467214993766
affectivevr,6.0,HP,angle,std,0.10680156630744408
affectivevr,6.0,LP,valence,mean,0.8754848371643403
affectivevr,6.0,LP,valence,std,0.08076546205181087
affectivevr,6.0,LP,arousal,mean,-0.1903948129371489
affectivevr,6.0,LP,arousal,std,0.18515842609698033
affectivevr,6.0,LP,distance,mean,1.0205661203437655
affectivevr,6.0,LP,distance,std,0.10509788887238787
affectivevr,6.0,LP,angle,mean,-0.12813308884916383
affectivevr,6.0,LP,angle,std,0.17930172893120797
affectivevr,6.0,LN,valence,mean,-0.8416773500400545
affectivevr,6.0,LN,valence,std,0.07304945110607243
affectivevr,6.0,LN,arousal,mean,-0.6967699077828359
affectivevr,6.0,LN,arousal,std,0.22475654851461394
affectivevr,6.0,LN,distance,mean,1.1275624940556495
affectivevr,6.0,LN,distance,std,0.10359727730044861
affectivevr,6.0,LN,angle,mean,-2.28663219121263
affectivevr,6.0,LN,angle,std,0.6425777071872786
affectivevr,6.0,HN,valence,mean,-0.9018325366221253
affectivevr,6.0,HN,valence,std,0.06469959814316185
affectivevr,6.0,HN,arousal,mean,0.6759573981251991
affectivevr,6.0,HN,arousal,std,0.2624594712237088
affectivevr,6.0,HN,distance,mean,1.1634171998103384
affectivevr,6.0,HN,distance,std,0.12481970279126924
affectivevr,6.0,HN,angle,mean,2.2653522676096025
affectivevr,6.0,HN,angle,std,0.9849287264559017
affectivevr,8.0,HP,valence,mean,0.7570578425107857
affectivevr,8.0,HP,valence,std,0.1508550353104715
affectivevr,8.0,HP,arousal,mean,-0.3802320969268716
affectivevr,8.0,HP,arousal,std,0.16444008739450952
affectivevr,8.0,HP,distance,mean,0.9787115705461579
affectivevr,8.0,HP,distance,std,0.08181434208895137
affectivevr,8.0,HP,angle,mean,-0.3532781989006641
affectivevr,8.0,HP,angle,std,0.23393836665648096
affectivevr,8.0,LP,valence,mean,0.6396348910475204
affectivevr,8.0,LP,valence,std,0.1848578861246135
affectivevr,8.0,LP,arousal,mean,-0.4861824815754296
affectivevr,8.0,LP,arousal,std,0.31562000136047347
affectivevr,8.0,LP,distance,mean,0.9022636116685162
affectivevr,8.0,LP,distance,std,0.21117861321685352
affectivevr,8.0,LP,angle,mean,-0.5024535068267486
affectivevr,8.0,LP,angle,std,0.5441636827410129
affectivevr,8.0,LN,valence,mean,-0.24366507769366996
affectivevr,8.0,LN,valence,std,0.19024461505777254
affectivevr,8.0,LN,arousal,mean,-0.906849439411261
affectivevr,8.0,LN,arousal,std,0.03685886016771737
affectivevr,8.0,LN,distance,mean,0.9959729312539327
affectivevr,8.0,LN,distance,std,0.08496500841163247
affectivevr,8.0,LN,angle,mean,-1.8068225064013905
affectivevr,8.0,LN,angle,std,0.17896936840781152
affectivevr,8.0,HN,valence,mean,-0.48374267587239417
affectivevr,8.0,HN,valence,std,0.2606705444471629
affectivevr,8.0,HN,arousal,mean,0.3341722534862626
affectivevr,8.0,HN,arousal,std,0.17933559725035816
affectivevr,8.0,HN,distance,mean,0.7387376660926982
affectivevr,8.0,HN,distance,std,0.18333726885355048
affectivevr,8.0,HN,angle,mean,0.32046705184644964
affectivevr,8.0,HN,angle,std,1.0258998151064653
affectivevr,10.0,HP,valence,mean,0.25460127022407
affectivevr,10.0,HP,valence,std,0.23055477494909238
affectivevr,10.0,HP,arousal,mean,0.6486985054434696
affectivevr,10.0,HP,arousal,std,0.22252236712186893
affectivevr,10.0,HP,distance,mean,0.747051933618783
affectivevr,10.0,HP,distance,std,0.2214047135176719
affectivevr,10.0,HP,angle,mean,1.216912306046912
affectivevr,10.0,HP,angle,std,0.511595034736331
affectivevr,10.0,LP,valence,mean,0.585614370592895
affectivevr,10.0,LP,valence,std,0.21135865283345698
affectivevr,10.0,LP,arousal,mean,-0.766868784844808
affectivevr,10.0,LP,arousal,std,0.11382983585921073
affectivevr,10.0,LP,distance,mean,1.0057884096533645
affectivevr,10.0,LP,distance,std,0.0890917057637128
affectivevr,10.0,LP,angle,mean,-0.9292811284222157
affectivevr,10.0,LP,angle,std,0.2447569225153774
affectivevr,10.0,LN,valence,mean,0.044211932503741926
affectivevr,10.0,LN,valence,std,0.11001153106999828
affectivevr,10.0,LN,arousal,mean,-0.5788965131144891
affectivevr,10.0,LN,arousal,std,0.1557564418508605
affectivevr,10.0,LN,distance,mean,0.6509224944073649
affectivevr,10.0,LN,distance,std,0.1341876445400038
affectivevr,10.0,LN,angle,mean,-1.337684910442298
affectivevr,10.0,LN,angle,std,0.35025839062320213
affectivevr,10.0,HN,valence,mean,-0.7560960700431606
affectivevr,10.0,HN,valence,std,0.19330874951893431
affectivevr,10.0,HN,arousal,mean,0.5453798249031716
affectivevr,10.0,HN,arousal,std,0.27632858465932436
affectivevr,10.0,HN,distance,mean,0.9980948730254843
affectivevr,10.0,HN,distance,std,0.15486961067269014
affectivevr,10.0,HN,angle,mean,2.330449583637756
affectivevr,10.0,HN,angle,std,0.8120550564325036
