subject	test	num_groups	n_samples	n_permutations	F	p-value	significance
001	PERMANOVA	4	1392	1000	650.5567030628142	0.000999000999000999	True
002	PERMANOVA	4	1392	1000	3.6974213734187105	0.003996003996003996	True
003	PERMANOVA	4	1392	1000	119.87030646552363	0.000999000999000999	True
004	PERMANOVA	4	1392	1000	12.95346677769806	0.000999000999000999	True
005	PERMANOVA	4	1392	1000	10.548132326771826	0.000999000999000999	True
006	PERMANOVA	4	1392	1000	20.59373563806068	0.000999000999000999	True
007	PERMANOVA	4	1392	1000	57.206529736672806	0.000999000999000999	True
009	PERMANOVA	4	1392	1000	57.393584505887056	0.000999000999000999	True
012	PERMANOVA	4	1392	1000	79.21687742590441	0.000999000999000999	True
014	PERMANOVA	4	1392	1000	45.58606933153281	0.000999000999000999	True
015	PERMANOVA	4	1392	1000	83.67658568074214	0.000999000999000999	True
016	PERMANOVA	4	1392	1000	25.383162763931807	0.000999000999000999	True
018	PERMANOVA	4	1392	1000	35.655213187702785	0.000999000999000999	True
019	PERMANOVA	4	1392	1000	77.79698442469358	0.000999000999000999	True
020	PERMANOVA	4	1392	1000	89.84389612970769	0.000999000999000999	True
021	PERMANOVA	4	1392	1000	12.44705429691229	0.000999000999000999	True
022	PERMANOVA	4	1392	1000	10.3929393234181	0.000999000999000999	True
024	PERMANOVA	4	1392	1000	71.93132259042376	0.000999000999000999	True
025	PERMANOVA	4	1392	1000	142.5990562882411	0.000999000999000999	True
026	PERMANOVA	4	1392	1000	22.968611761485175	0.000999000999000999	True
027	PERMANOVA	4	1392	1000	99.85478266952958	0.000999000999000999	True
028	PERMANOVA	4	1392	1000	26.06195612604053	0.000999000999000999	True
029	PERMANOVA	4	1392	1000	145.22720114624977	0.000999000999000999	True
030	PERMANOVA	4	1392	1000	11.03458043563925	0.000999000999000999	True
031	PERMANOVA	4	1392	1000	234.9907844813187	0.000999000999000999	True
032	PERMANOVA	4	1392	1000	86.90887627644317	0.000999000999000999	True
033	PERMANOVA	4	1392	1000	22.353428761735934	0.000999000999000999	True
034	PERMANOVA	4	1392	1000	93.41162730461139	0.000999000999000999	True
035	PERMANOVA	4	1392	1000	11.149338240876485	0.000999000999000999	True
036	PERMANOVA	4	1392	1000	24.16137060086384	0.000999000999000999	True
037	PERMANOVA	4	1392	1000	10.760814598960325	0.000999000999000999	True
038	PERMANOVA	4	1392	1000	18.00678018166988	0.000999000999000999	True
039	PERMANOVA	4	1392	1000	12.853034369256656	0.000999000999000999	True
040	PERMANOVA	4	1392	1000	15.08076195256122	0.000999000999000999	True
041	PERMANOVA	4	1392	1000	93.6601132908721	0.000999000999000999	True
042	PERMANOVA	4	1392	1000	10.440167174903113	0.000999000999000999	True
043	PERMANOVA	4	1392	1000	38.07377606060175	0.000999000999000999	True
045	PERMANOVA	4	1392	1000	70.98987752640937	0.000999000999000999	True
046	PERMANOVA	4	1392	1000	177.47807084512985	0.000999000999000999	True
