subject	test	num_groups	n_samples	n_permutations	F	p-value	significance
001	PERMANOVA	4	1390	1000	290.56717109063146	0.000999000999000999	True
002	PERMANOVA	4	1390	1000	9.390923190752025	0.000999000999000999	True
003	PERMANOVA	4	1390	1000	30.370786895426143	0.000999000999000999	True
004	PERMANOVA	4	1390	1000	11.461303659216085	0.000999000999000999	True
005	PERMANOVA	4	1390	1000	14.002719227861977	0.000999000999000999	True
006	PERMANOVA	4	1390	1000	17.378562694586527	0.000999000999000999	True
007	PERMANOVA	4	1390	1000	17.82910692870986	0.000999000999000999	True
009	PERMANOVA	4	1390	1000	15.708330620265535	0.000999000999000999	True
012	PERMANOVA	4	1390	1000	29.69165128047842	0.000999000999000999	True
014	PERMANOVA	4	1390	1000	16.843308730025274	0.000999000999000999	True
015	PERMANOVA	4	1390	1000	23.95074344938066	0.000999000999000999	True
016	PERMANOVA	4	1390	1000	16.350064962061094	0.000999000999000999	True
018	PERMANOVA	4	1390	1000	7.741311797294841	0.000999000999000999	True
019	PERMANOVA	4	1390	1000	29.416207330678834	0.000999000999000999	True
020	PERMANOVA	4	1390	1000	20.973435062377742	0.000999000999000999	True
021	PERMANOVA	4	1390	1000	8.565894614375429	0.000999000999000999	True
022	PERMANOVA	4	1390	1000	10.73231673363032	0.000999000999000999	True
024	PERMANOVA	4	1390	1000	22.916361342003643	0.000999000999000999	True
025	PERMANOVA	4	1390	1000	17.761356940164006	0.000999000999000999	True
026	PERMANOVA	4	1390	1000	22.329053231431317	0.000999000999000999	True
027	PERMANOVA	4	1390	1000	19.48688854773379	0.000999000999000999	True
028	PERMANOVA	4	1390	1000	12.707902659417424	0.000999000999000999	True
029	PERMANOVA	4	1390	1000	36.77399880502533	0.000999000999000999	True
030	PERMANOVA	4	1390	1000	12.959800357681683	0.000999000999000999	True
031	PERMANOVA	4	1390	1000	30.055344211816085	0.000999000999000999	True
032	PERMANOVA	4	1390	1000	38.60162825079088	0.000999000999000999	True
033	PERMANOVA	4	1390	1000	9.278676095270312	0.000999000999000999	True
034	PERMANOVA	4	1390	1000	15.839919134503175	0.000999000999000999	True
035	PERMANOVA	4	1390	1000	25.777020260952693	0.000999000999000999	True
036	PERMANOVA	4	1390	1000	8.447278018845456	0.000999000999000999	True
037	PERMANOVA	4	1390	1000	4.811260187099291	0.000999000999000999	True
038	PERMANOVA	4	1390	1000	19.148156356502263	0.000999000999000999	True
039	PERMANOVA	4	1390	1000	47.79982541582652	0.000999000999000999	True
040	PERMANOVA	4	1390	1000	20.82487790757988	0.000999000999000999	True
041	PERMANOVA	4	1390	1000	30.978098172061312	0.000999000999000999	True
042	PERMANOVA	4	1390	1000	7.936215961609054	0.000999000999000999	True
043	PERMANOVA	4	1390	1000	21.88964938358564	0.000999000999000999	True
045	PERMANOVA	4	1390	1000	24.433041520958312	0.000999000999000999	True
046	PERMANOVA	4	1390	1000	54.332262956702266	0.000999000999000999	True
