subject	test	value	num_df	den_df	F	p-value	significance
001	Wilks' lambda	0.8274076957491944	5	1384.0	57.73882701606418	1.1472605488411929e-54	True
001	Pillai's trace	0.17259230425080566	5.0	1384.0	57.7388270160642	1.147260548841095e-54	True
001	Hotelling-Lawley trace	0.20859402823722611	5	1384.000000000018	57.738827016064185	1.1472605488405081e-54	True
001	Roy's greatest root	0.20859402823722611	5	1384	57.73882701606419	1.1472605488411929e-54	True
002	Wilks' lambda	0.6290340040954954	5	1384.0	163.23980420425448	1.4989454408423604e-136	True
002	Pillai's trace	0.3709659959045046	5.0	1384.0	163.23980420425448	1.4989454408423604e-136	True
002	Hotelling-Lawley trace	0.5897391770384915	5	1384.000000000018	163.23980420425445	1.4989454408405711e-136	True
002	Roy's greatest root	0.5897391770384915	5	1384	163.23980420425445	1.4989454408425309e-136	True
003	Wilks' lambda	0.7820080681844173	5	1384.0	77.16054243103227	1.7819715930931973e-71	True
003	Pillai's trace	0.21799193181558274	5.0	1384.0	77.16054243103227	1.7819715930931973e-71	True
003	Hotelling-Lawley trace	0.278759185083209	5	1384.000000000018	77.16054243103225	1.7819715930919311e-71	True
003	Roy's greatest root	0.278759185083209	5	1384	77.16054243103225	1.7819715930931973e-71	True
004	Wilks' lambda	0.8531405847782182	5	1384.0	47.6482854744939	1.444632267995778e-45	True
004	Pillai's trace	0.1468594152217818	5.0	1384.0	47.6482854744939	1.444632267995778e-45	True
004	Hotelling-Lawley trace	0.17213975966218895	5	1384.000000000018	47.648285474493896	1.4446322679951003e-45	True
004	Roy's greatest root	0.17213975966218895	5	1384	47.6482854744939	1.444632267995778e-45	True
005	Wilks' lambda	0.8108111869366538	5	1384.0	64.58650830137788	1.0703326714564017e-60	True
005	Pillai's trace	0.18918881306334626	5.0	1384.0	64.58650830137789	1.07033267145628e-60	True
005	Hotelling-Lawley trace	0.23333276120439986	5	1384.000000000018	64.58650830137786	1.0703326714556716e-60	True
005	Roy's greatest root	0.23333276120439986	5	1384	64.58650830137789	1.07033267145628e-60	True
006	Wilks' lambda	0.8126662971337357	5	1384.0	63.80720984279806	5.128262752621834e-60	True
006	Pillai's trace	0.18733370286626427	5.0	1384.0	63.80720984279805	5.128262752621834e-60	True
006	Hotelling-Lawley trace	0.23051737659970395	5	1384.000000000018	63.807209842798045	5.128262752618628e-60	True
006	Roy's greatest root	0.23051737659970395	5	1384	63.80720984279806	5.128262752621834e-60	True
007	Wilks' lambda	0.7173040122287764	5	1384.0	109.08937923257793	2.9088209244484424e-97	True
007	Pillai's trace	0.28269598777122357	5.0	1384.0	109.08937923257791	2.9088209244484424e-97	True
007	Hotelling-Lawley trace	0.39410902901942885	5	1384.000000000018	109.08937923257788	2.90882092444588e-97	True
007	Roy's greatest root	0.39410902901942885	5	1384	109.08937923257791	2.9088209244484424e-97	True
009	Wilks' lambda	0.8426378691996238	5	1384.0	51.69223862074627	3.0312796769736105e-49	True
009	Pillai's trace	0.15736213080037623	5.0	1384.0	51.692238620746274	3.0312796769736105e-49	True
009	Hotelling-Lawley trace	0.18674941698246486	5	1384.000000000018	51.69223862074627	3.0312796769715857e-49	True
009	Roy's greatest root	0.18674941698246486	5	1384	51.692238620746274	3.0312796769736105e-49	True
012	Wilks' lambda	0.7854119751798823	5	1384.0	75.62650831317504	3.515812578458792e-70	True
012	Pillai's trace	0.21458802482011768	5.0	1384.0	75.62650831317502	3.515812578459092e-70	True
012	Hotelling-Lawley trace	0.2732171543106034	5	1384.000000000018	75.62650831317501	3.515812578456394e-70	True
012	Roy's greatest root	0.2732171543106034	5	1384	75.62650831317502	3.515812578459092e-70	True
014	Wilks' lambda	0.8238654618090429	5	1384.0	59.17718660544754	6.073123768613926e-56	True
014	Pillai's trace	0.1761345381909572	5.0	1384.0	59.17718660544755	6.073123768613926e-56	True
014	Hotelling-Lawley trace	0.2137904140370215	5	1384.000000000018	59.177186605447545	6.073123768609956e-56	True
014	Roy's greatest root	0.2137904140370215	5	1384	59.17718660544756	6.073123768613926e-56	True
015	Wilks' lambda	0.6646654688132113	5	1384.0	139.65009856497926	4.668039544948181e-120	True
015	Pillai's trace	0.3353345311867887	5.0	1384.0	139.65009856497926	4.668039544948181e-120	True
015	Hotelling-Lawley trace	0.5045162520411101	5	1384.000000000018	139.65009856497926	4.668039544943404e-120	True
