subject	test	num_groups	n_samples	n_permutations	F	p-value	significance
001	PERMANOVA	4	1390	1000	386.0255358783336	0.000999000999000999	True
002	PERMANOVA	4	1390	1000	4.617335403561097	0.000999000999000999	True
003	PERMANOVA	4	1390	1000	5.723586827187151	0.000999000999000999	True
004	PERMANOVA	4	1390	1000	13.02986903686847	0.000999000999000999	True
005	PERMANOVA	4	1390	1000	9.91102349775704	0.000999000999000999	True
006	PERMANOVA	4	1390	1000	3.37461889019979	0.002997002997002997	True
007	PERMANOVA	4	1390	1000	15.188194308777716	0.000999000999000999	True
009	PERMANOVA	4	1390	1000	3.8650722248373888	0.001998001998001998	True
012	PERMANOVA	4	1390	1000	2.796362939075724	0.011988011988011988	True
014	PERMANOVA	4	1390	1000	0.9664982643926071	0.4485514485514486	False
015	PERMANOVA	4	1390	1000	7.468929104273445	0.000999000999000999	True
016	PERMANOVA	4	1390	1000	27.207008753676174	0.000999000999000999	True
018	PERMANOVA	4	1390	1000	3.0103800639161484	0.006993006993006993	True
019	PERMANOVA	4	1390	1000	16.881652513244745	0.000999000999000999	True
020	PERMANOVA	4	1390	1000	2.8362535773725583	0.005994005994005994	True
021	PERMANOVA	4	1390	1000	5.076089009000934	0.000999000999000999	True
022	PERMANOVA	4	1390	1000	7.500561764468097	0.000999000999000999	True
024	PERMANOVA	4	1390	1000	5.676017547428585	0.000999000999000999	True
025	PERMANOVA	4	1390	1000	6.982216990295088	0.000999000999000999	True
026	PERMANOVA	4	1390	1000	7.572223959100243	0.000999000999000999	True
027	PERMANOVA	4	1390	1000	2.8640779609747353	0.008991008991008992	True
028	PERMANOVA	4	1390	1000	5.814835047671785	0.000999000999000999	True
029	PERMANOVA	4	1390	1000	9.885030638635433	0.000999000999000999	True
030	PERMANOVA	4	1390	1000	15.197472255761	0.000999000999000999	True
031	PERMANOVA	4	1390	1000	6.831208007574339	0.000999000999000999	True
032	PERMANOVA	4	1390	1000	5.147808332254824	0.000999000999000999	True
033	PERMANOVA	4	1390	1000	14.952408594602838	0.000999000999000999	True
034	PERMANOVA	4	1390	1000	11.079939776281636	0.000999000999000999	True
035	PERMANOVA	4	1390	1000	11.795662216666926	0.000999000999000999	True
036	PERMANOVA	4	1390	1000	7.527926721425091	0.000999000999000999	True
037	PERMANOVA	4	1390	1000	6.4712001060234146	0.000999000999000999	True
038	PERMANOVA	4	1390	1000	23.502144559152068	0.000999000999000999	True
039	PERMANOVA	4	1390	1000	10.265901843652745	0.000999000999000999	True
040	PERMANOVA	4	1390	1000	18.791492855669137	0.000999000999000999	True
041	PERMANOVA	4	1390	1000	12.45508295363958	0.000999000999000999	True
042	PERMANOVA	4	1390	1000	11.474125997661922	0.000999000999000999	True
043	PERMANOVA	4	1390	1000	17.185946857605003	0.000999000999000999	True
045	PERMANOVA	4	1390	1000	7.954378024030452	0.000999000999000999	True
046	PERMANOVA	4	1390	1000	13.947294063631697	0.000999000999000999	True
