subject	test	value	num_df	den_df	F	p-value	significance
001	Wilks' lambda	0.9748983890750723	2	1390.0	17.894808103412856	2.1220234027955078e-08	True
001	Pillai's trace	0.02510161092492766	2.0	1390.0	17.894808103412835	2.1220234027955078e-08	True
001	Hotelling-Lawley trace	0.025747925328651562	2	1389.999999999976	17.894808103412835	2.1220234027936003e-08	True
001	Roy's greatest root	0.025747925328651562	2	1390	17.894808103412835	2.1220234027955078e-08	True
002	Wilks' lambda	0.8016502140191003	2	1390.0	171.96165964404116	1.860006366583409e-67	True
002	Pillai's trace	0.1983497859808997	2.0	1390.0	171.9616596440412	1.860006366583409e-67	True
002	Hotelling-Lawley trace	0.24742684840869233	2	1389.999999999976	171.96165964404116	1.860006366582246e-67	True
002	Roy's greatest root	0.24742684840869233	2	1390	171.96165964404116	1.860006366583409e-67	True
003	Wilks' lambda	0.8176974896062934	2	1390.0	154.94757698795183	1.7860836037900437e-61	True
003	Pillai's trace	0.18230251039370657	2.0	1390.0	154.9475769879518	1.7860836037900437e-61	True
003	Hotelling-Lawley trace	0.222946153939499	2	1389.999999999976	154.94757698795178	1.786083603788927e-61	True
003	Roy's greatest root	0.222946153939499	2	1390	154.9475769879518	1.7860836037900437e-61	True
004	Wilks' lambda	0.7997654015440122	2	1390.0	174.00483399037506	3.6225596538635607e-68	True
004	Pillai's trace	0.2002345984559878	2.0	1390.0	174.0048339903751	3.6225596538635607e-68	True
004	Hotelling-Lawley trace	0.25036666761205045	2	1389.999999999976	174.00483399037506	3.6225596538613983e-68	True
004	Roy's greatest root	0.25036666761205045	2	1390	174.00483399037506	3.6225596538635607e-68	True
005	Wilks' lambda	0.904989936602647	2	1390.0	72.96434069647883	7.36895993153777e-31	True
005	Pillai's trace	0.09501006339735299	2.0	1390.0	72.96434069647884	7.36895993153777e-31	True
005	Hotelling-Lawley trace	0.10498466287263143	2	1389.999999999976	72.96434069647884	7.368959931531906e-31	True
005	Roy's greatest root	0.10498466287263143	2	1390	72.96434069647884	7.36895993153777e-31	True
006	Wilks' lambda	0.8243928911620102	2	1390.0	148.04463011607675	5.167678829428434e-59	True
006	Pillai's trace	0.17560710883798977	2.0	1390.0	148.04463011607672	5.167678829428434e-59	True
006	Hotelling-Lawley trace	0.21301385628212477	2	1389.999999999976	148.04463011607672	5.167678829424762e-59	True
006	Roy's greatest root	0.21301385628212477	2	1390	148.04463011607672	5.167678829428434e-59	True
007	Wilks' lambda	0.8738727430712193	2	1390.0	100.31030749102852	2.0253238670378521e-41	True
007	Pillai's trace	0.1261272569287807	2.0	1390.0	100.31030749102854	2.0253238670378521e-41	True
007	Hotelling-Lawley trace	0.14433137768493315	2	1389.999999999976	100.31030749102854	2.0253238670362978e-41	True
007	Roy's greatest root	0.14433137768493315	2	1390	100.31030749102854	2.0253238670378521e-41	True
009	Wilks' lambda	0.9352936730931777	2	1390.0	48.08211420004049	6.439580550241616e-21	True
009	Pillai's trace	0.06470632690682233	2.0	1390.0	48.08211420004051	6.439580550241616e-21	True
009	Hotelling-Lawley trace	0.06918289812955468	2	1389.999999999976	48.0821142000405	6.439580550235759e-21	True
009	Roy's greatest root	0.06918289812955468	2	1390	48.0821142000405	6.439580550241616e-21	True
012	Wilks' lambda	0.6966595879261419	2	1390.0	302.61779216865114	7.931035579434057e-110	True
012	Pillai's trace	0.30334041207385803	2.0	1390.0	302.6177921686511	7.931035579434958e-110	True
012	Hotelling-Lawley trace	0.4354212836959009	2	1389.999999999976	302.6177921686511	7.931035579433606e-110	True
012	Roy's greatest root	0.4354212836959009	2	1390	302.61779216865114	7.931035579434057e-110	True
014	Wilks' lambda	0.8997522827165197	2	1390.0	77.43482828592059	1.3045334559125285e-32	True
014	Pillai's trace	0.10024771728348023	2.0	1390.0	77.43482828592056	1.3045334559126396e-32	True
014	Hotelling-Lawley trace	0.11141701911643247	2	1389.999999999976	77.43482828592056	1.3045334559115642e-32	True
014	Roy's greatest root	0.11141701911643247	2	1390	77.43482828592056	1.3045334559126396e-32	True
015	Wilks' lambda	0.7923563029816376	2	1390.0	182.13065117891315	5.6202973715766026e-71	True
015	Pillai's trace	0.20764369701836238	2.0	1390.0	182.13065117891315	5.6202973715766026e-71	True
015	Hotelling-Lawley trace	0.262058490904911	2	1389.999999999976	182.13065117891315	5.6202973715730886e-71	True
015	Roy's greatest root	0.262058490904911	2	1390	182.13065117891315	5.6202973715766026e-71	True
016	Wilks' lambda	0.8754744126638402	2	1390.0	98.85529713575106	7.231077263390803e-41	True
016	Pillai's trace	0.12452558733615983	2.0	1390.0	98.85529713575109	7.231077263389569e-41	True
016	Hotelling-Lawley trace	0.14223783760539724	2	1389.999999999976	98.85529713575107	7.231077263385254e-41	True
016	Roy's greatest root	0.14223783760539724	2	1390	98.85529713575109	7.231077263389569e-41	True
018	Wilks' lambda	0.7894524401270302	2	1390.0	185.35702301226414	4.380766961669955e-72	True
018	Pillai's trace	0.21054755987296983	2.0	1390.0	185.35702301226416	4.380766961669955e-72	True
018	Hotelling-Lawley trace	0.2667007525356319	2	1389.999999999976	185.35702301226416	4.38076696166734e-72	True
018	Roy's greatest root	0.2667007525356319	2	1390	185.3570230122642	4.380766961669457e-72	True
019	Wilks' lambda	0.9105427158111652	2	1390.0	68.28104978672306	5.17279757790232e-29	True
019	Pillai's trace	0.08945728418883478	2.0	1390.0	68.28104978672303	5.17279757790232e-29	True
019	Hotelling-Lawley trace	0.09824611480104034	2	1389.999999999976	68.28104978672303	5.172797577897836e-29	True
019	Roy's greatest root	0.09824611480104034	2	1390	68.28104978672303	5.17279757790232e-29	True
020	Wilks' lambda	0.9611801355952814	2	1390.0	28.06945832746556	1.1202806247231745e-12	True
020	Pillai's trace	0.03881986440471866	2.0	1390.0	28.06945832746558	1.1202806247231745e-12	True
020	Hotelling-Lawley trace	0.040387709823691484	2	1389.999999999976	28.069458327465583	1.1202806247221714e-12	True
020	Roy's greatest root	0.040387709823691484	2	1390	28.069458327465583	1.1202806247231745e-12	True
021	Wilks' lambda	0.7663640336673053	2	1390.0	211.8797196473263	4.812875843667473e-81	True
021	Pillai's trace	0.23363596633269468	2.0	1390.0	211.8797196473263	4.812875843667473e-81	True
021	Hotelling-Lawley trace	0.304862905967376	2	1389.999999999976	211.87971964732628	4.812875843665148e-81	True
021	Roy's greatest root	0.304862905967376	2	1390	211.8797196473263	4.812875843667473e-81	True
022	Wilks' lambda	0.7969791861978495	2	1390.0	177.04284884231194	3.203692314403121e-69	True
022	Pillai's trace	0.20302081380215053	2.0	1390.0	177.0428488423119	3.203692314403121e-69	True
022	Hotelling-Lawley trace	0.2547379120033265	2	1389.999999999976	177.04284884231194	3.203692314400936e-69	True
022	Roy's greatest root	0.2547379120033265	2	1390	177.04284884231194	3.203692314403121e-69	True
024	Wilks' lambda	0.7385134634995473	2	1390.0	246.0796611704914	3.229236960219037e-92	True
024	Pillai's trace	0.2614865365004527	2.0	1390.0	246.0796611704914	3.229236960219037e-92	True
024	Hotelling-Lawley trace	0.3540714549215703	2	1389.999999999976	246.07966117049136	3.229236960217935e-92	True
024	Roy's greatest root	0.3540714549215703	2	1390	246.0796611704914	3.229236960219037e-92	True
025	Wilks' lambda	0.7399853243202624	2	1390.0	244.20781555825428	1.2884250760229618e-91	True
025	Pillai's trace	0.2600146756797376	2.0	1390.0	244.20781555825428	1.2884250760229618e-91	True
