subject	test	num_groups	n_samples	n_permutations	F	p-value	significance
001	PERMANOVA	4	1393	1000	1946.9471366690614	0.000999000999000999	True
002	PERMANOVA	4	1393	1000	231.28944547247679	0.000999000999000999	True
003	PERMANOVA	4	1393	1000	195.18207164675954	0.000999000999000999	True
004	PERMANOVA	4	1393	1000	96.64251581073506	0.000999000999000999	True
005	PERMANOVA	4	1393	1000	366.9627135241417	0.000999000999000999	True
006	PERMANOVA	4	1393	1000	34.52515787792588	0.000999000999000999	True
007	PERMANOVA	4	1393	1000	298.4498897934281	0.000999000999000999	True
009	PERMANOVA	4	1393	1000	131.14512038503992	0.000999000999000999	True
012	PERMANOVA	4	1393	1000	289.4128166036233	0.000999000999000999	True
014	PERMANOVA	4	1393	1000	184.1161177521674	0.000999000999000999	True
015	PERMANOVA	4	1393	1000	246.65064555073292	0.000999000999000999	True
016	PERMANOVA	4	1393	1000	216.70354083242617	0.000999000999000999	True
018	PERMANOVA	4	1393	1000	35.20556981082684	0.000999000999000999	True
019	PERMANOVA	4	1393	1000	134.3256017677413	0.000999000999000999	True
020	PERMANOVA	4	1393	1000	331.89042812329916	0.000999000999000999	True
021	PERMANOVA	4	1393	1000	85.35459287725968	0.000999000999000999	True
022	PERMANOVA	4	1393	1000	224.3764476821921	0.000999000999000999	True
024	PERMANOVA	4	1393	1000	203.90196834693762	0.000999000999000999	True
025	PERMANOVA	4	1393	1000	238.41652890677656	0.000999000999000999	True
026	PERMANOVA	4	1393	1000	130.24385629558566	0.000999000999000999	True
027	PERMANOVA	4	1393	1000	260.770835912744	0.000999000999000999	True
028	PERMANOVA	4	1393	1000	49.517131761531594	0.000999000999000999	True
029	PERMANOVA	4	1393	1000	200.97800845383242	0.000999000999000999	True
030	PERMANOVA	4	1393	1000	196.55405756182827	0.000999000999000999	True
031	PERMANOVA	4	1393	1000	471.151266307479	0.000999000999000999	True
032	PERMANOVA	4	1393	1000	151.41605436916146	0.000999000999000999	True
033	PERMANOVA	4	1393	1000	74.44744412052982	0.000999000999000999	True
034	PERMANOVA	4	1393	1000	105.8332239966245	0.000999000999000999	True
035	PERMANOVA	4	1393	1000	208.8161308793814	0.000999000999000999	True
036	PERMANOVA	4	1393	1000	721.4382217780196	0.000999000999000999	True
037	PERMANOVA	4	1393	1000	264.33407676086665	0.000999000999000999	True
038	PERMANOVA	4	1393	1000	366.9959310439649	0.000999000999000999	True
039	PERMANOVA	4	1393	1000	142.78046349147803	0.000999000999000999	True
040	PERMANOVA	4	1393	1000	742.1228318555442	0.000999000999000999	True
041	PERMANOVA	4	1393	1000	366.07492568561065	0.000999000999000999	True
042	PERMANOVA	4	1393	1000	296.45551801502324	0.000999000999000999	True
043	PERMANOVA	4	1393	1000	304.6830297995561	0.000999000999000999	True
045	PERMANOVA	4	1393	1000	328.2915240103958	0.000999000999000999	True
046	PERMANOVA	4	1393	1000	327.6816523454576	0.000999000999000999	True
