	Variable	Group1	Sample1	Group2	Sample2	t-statistic	p-value	Significance
0	valence	spaceship	15664	invasion	15664	21.04	0.0	True
1	valence	spaceship	17204	asteroids	17204	-23.64	0.0	True
2	valence	spaceship	16764	underwood	16764	111.55	0.0	True
3	valence	invasion	15664	spaceship	15664	-21.04	0.0	True
4	valence	invasion	17204	asteroids	17204	-42.37	0.0	True
5	valence	invasion	16764	underwood	16764	78.09	0.0	True
6	valence	asteroids	17204	spaceship	17204	23.64	0.0	True
7	valence	asteroids	17204	invasion	17204	42.37	0.0	True
8	valence	asteroids	17204	underwood	17204	131.7	0.0	True
9	valence	underwood	16764	spaceship	16764	-111.55	0.0	True
10	valence	underwood	16764	invasion	16764	-78.09	0.0	True
11	valence	underwood	17204	asteroids	17204	-131.7	0.0	True
12	arousal	spaceship	15664	invasion	15664	-49.59	0.0	True
13	arousal	spaceship	17204	asteroids	17204	-67.08	0.0	True
14	arousal	spaceship	16764	underwood	16764	-169.42	0.0	True
15	arousal	invasion	15664	spaceship	15664	49.59	0.0	True
16	arousal	invasion	17204	asteroids	17204	-19.37	0.0	True
17	arousal	invasion	16764	underwood	16764	-116.28	0.0	True
18	arousal	asteroids	17204	spaceship	17204	67.08	0.0	True
19	arousal	asteroids	17204	invasion	17204	19.37	0.0	True
20	arousal	asteroids	17204	underwood	17204	-88.86	0.0	True
21	arousal	underwood	16764	spaceship	16764	169.42	0.0	True
22	arousal	underwood	16764	invasion	16764	116.28	0.0	True
23	arousal	underwood	17204	asteroids	17204	88.86	0.0	True
