Group	Variable	Statistic	Samples	p-value	Significance
spaceship	ibi	0.97	39	0.45	False
spaceship	hrv	0.88	39	0.001	True
spaceship	lf_hrv	0.98	39	0.641	False
spaceship	hf_hrv	0.85	39	0.0	True
spaceship	posterior_alpha	0.8	39	0.0	True
spaceship	frontal_alpha	0.77	39	0.0	True
spaceship	frontal_theta	0.9	39	0.002	True
spaceship	gamma	0.89	39	0.001	True
spaceship	beta	0.96	39	0.2	False
invasion	ibi	0.97	39	0.446	False
invasion	hrv	0.88	39	0.001	True
invasion	lf_hrv	0.93	39	0.021	True
invasion	hf_hrv	0.87	39	0.0	True
invasion	posterior_alpha	0.81	39	0.0	True
invasion	frontal_alpha	0.83	39	0.0	True
invasion	frontal_theta	0.89	39	0.001	True
invasion	gamma	0.87	39	0.0	True
invasion	beta	0.93	39	0.015	True
asteroids	ibi	0.96	39	0.234	False
asteroids	hrv	0.87	39	0.0	True
asteroids	lf_hrv	0.98	39	0.651	False
asteroids	hf_hrv	0.83	39	0.0	True
asteroids	posterior_alpha	0.79	39	0.0	True
asteroids	frontal_alpha	0.78	39	0.0	True
asteroids	frontal_theta	0.93	39	0.015	True
asteroids	gamma	0.93	39	0.026	True
asteroids	beta	0.96	39	0.222	False
underwood	ibi	0.98	39	0.82	False
underwood	hrv	0.86	39	0.0	True
underwood	lf_hrv	0.97	39	0.431	False
underwood	hf_hrv	0.83	39	0.0	True
underwood	posterior_alpha	0.8	39	0.0	True
underwood	frontal_alpha	0.82	39	0.0	True
underwood	frontal_theta	0.93	39	0.023	True
underwood	gamma	0.86	39	0.0	True
underwood	beta	0.86	39	0.0	True
