	Variable	Group1	Sample1	Group2	Sample2	t-statistic	p-value	Significance
0	ibi	spaceship	39	invasion	39	-5.82	0.0	True
1	ibi	spaceship	39	asteroids	39	-1.21	0.234	False
2	ibi	spaceship	39	underwood	39	3.79	0.001	False
3	ibi	invasion	39	spaceship	39	5.82	0.0	True
4	ibi	invasion	39	asteroids	39	3.17	0.003	False
5	ibi	invasion	39	underwood	39	6.32	0.0	True
6	ibi	asteroids	39	spaceship	39	1.21	0.234	False
7	ibi	asteroids	39	invasion	39	-3.17	0.003	False
8	ibi	asteroids	39	underwood	39	3.21	0.003	False
9	ibi	underwood	39	spaceship	39	-3.79	0.001	False
10	ibi	underwood	39	invasion	39	-6.32	0.0	True
11	ibi	underwood	39	asteroids	39	-3.21	0.003	False
12	hrv	spaceship	39	invasion	39	-2.9	0.006	False
13	hrv	spaceship	39	asteroids	39	-1.59	0.12	False
14	hrv	spaceship	39	underwood	39	1.35	0.185	False
15	hrv	invasion	39	spaceship	39	2.9	0.006	False
16	hrv	invasion	39	asteroids	39	1.56	0.128	False
17	hrv	invasion	39	underwood	39	2.82	0.008	False
18	hrv	asteroids	39	spaceship	39	1.59	0.12	False
19	hrv	asteroids	39	invasion	39	-1.56	0.128	False
20	hrv	asteroids	39	underwood	39	2.85	0.007	False
21	hrv	underwood	39	spaceship	39	-1.35	0.185	False
22	hrv	underwood	39	invasion	39	-2.82	0.008	False
23	hrv	underwood	39	asteroids	39	-2.85	0.007	False
24	lf_hrv	spaceship	39	invasion	39	0.89	0.38	False
25	lf_hrv	spaceship	39	asteroids	39	-1.87	0.069	False
26	lf_hrv	spaceship	39	underwood	39	-0.91	0.37	False
27	lf_hrv	invasion	39	spaceship	39	-0.89	0.38	False
28	lf_hrv	invasion	39	asteroids	39	-2.77	0.009	False
29	lf_hrv	invasion	39	underwood	39	-1.44	0.159	False
30	lf_hrv	asteroids	39	spaceship	39	1.87	0.069	False
31	lf_hrv	asteroids	39	invasion	39	2.77	0.009	False
32	lf_hrv	asteroids	39	underwood	39	0.88	0.383	False
33	lf_hrv	underwood	39	spaceship	39	0.91	0.37	False
34	lf_hrv	underwood	39	invasion	39	1.44	0.159	False
35	lf_hrv	underwood	39	asteroids	39	-0.88	0.383	False
36	hf_hrv	spaceship	39	invasion	39	-3.88	0.0	True
37	hf_hrv	spaceship	39	asteroids	39	-1.1	0.277	False
38	hf_hrv	spaceship	39	underwood	39	2.42	0.021	False
39	hf_hrv	invasion	39	spaceship	39	3.88	0.0	True
40	hf_hrv	invasion	39	asteroids	39	2.8	0.008	False
41	hf_hrv	invasion	39	underwood	39	3.97	0.0	True
42	hf_hrv	asteroids	39	spaceship	39	1.1	0.277	False
43	hf_hrv	asteroids	39	invasion	39	-2.8	0.008	False
44	hf_hrv	asteroids	39	underwood	39	3.0	0.005	False
45	hf_hrv	underwood	39	spaceship	39	-2.42	0.021	False
46	hf_hrv	underwood	39	invasion	39	-3.97	0.0	True
47	hf_hrv	underwood	39	asteroids	39	-3.0	0.005	False
48	posterior_alpha	spaceship	39	invasion	39	4.64	0.0	True
49	posterior_alpha	spaceship	39	asteroids	39	4.47	0.0	True
50	posterior_alpha	spaceship	39	underwood	39	4.28	0.0	True
51	posterior_alpha	invasion	39	spaceship	39	-4.64	0.0	True
52	posterior_alpha	invasion	39	asteroids	39	-3.42	0.002	False
53	posterior_alpha	invasion	39	underwood	39	-2.84	0.007	False
54	posterior_alpha	asteroids	39	spaceship	39	-4.47	0.0	True
55	posterior_alpha	asteroids	39	invasion	39	3.42	0.002	False
56	posterior_alpha	asteroids	39	underwood	39	-1.62	0.114	False
57	posterior_alpha	underwood	39	spaceship	39	-4.28	0.0	True
58	posterior_alpha	underwood	39	invasion	39	2.84	0.007	False
59	posterior_alpha	underwood	39	asteroids	39	1.62	0.114	False
60	frontal_alpha	spaceship	39	invasion	39	3.82	0.0	False
61	frontal_alpha	spaceship	39	asteroids	39	4.11	0.0	True
62	frontal_alpha	spaceship	39	underwood	39	3.95	0.0	True
63	frontal_alpha	invasion	39	spaceship	39	-3.82	0.0	False
64	frontal_alpha	invasion	39	asteroids	39	-1.04	0.307	False
65	frontal_alpha	invasion	39	underwood	39	-1.01	0.321	False
66	frontal_alpha	asteroids	39	spaceship	39	-4.11	0.0	True
67	frontal_alpha	asteroids	39	invasion	39	1.04	0.307	False
68	frontal_alpha	asteroids	39	underwood	39	-0.34	0.733	False
69	frontal_alpha	underwood	39	spaceship	39	-3.95	0.0	True
70	frontal_alpha	underwood	39	invasion	39	1.01	0.321	False
71	frontal_alpha	underwood	39	asteroids	39	0.34	0.733	False
72	frontal_theta	spaceship	39	invasion	39	2.07	0.046	False
73	frontal_theta	spaceship	39	asteroids	39	2.07	0.045	False
74	frontal_theta	spaceship	39	underwood	39	3.82	0.0	False
75	frontal_theta	invasion	39	spaceship	39	-2.07	0.046	False
76	frontal_theta	invasion	39	asteroids	39	-1.22	0.23	False
77	frontal_theta	invasion	39	underwood	39	2.31	0.026	False
78	frontal_theta	asteroids	39	spaceship	39	-2.07	0.045	False
79	frontal_theta	asteroids	39	invasion	39	1.22	0.23	False
80	frontal_theta	asteroids	39	underwood	39	5.49	0.0	True
81	frontal_theta	underwood	39	spaceship	39	-3.82	0.0	False
82	frontal_theta	underwood	39	invasion	39	-2.31	0.026	False
83	frontal_theta	underwood	39	asteroids	39	-5.49	0.0	True
84	gamma	spaceship	39	invasion	39	-3.26	0.002	False
85	gamma	spaceship	39	asteroids	39	-2.98	0.005	False
86	gamma	spaceship	39	underwood	39	-4.33	0.0	True
87	gamma	invasion	39	spaceship	39	3.26	0.002	False
88	gamma	invasion	39	asteroids	39	1.08	0.287	False
89	gamma	invasion	39	underwood	39	-2.06	0.046	False
90	gamma	asteroids	39	spaceship	39	2.98	0.005	False
91	gamma	asteroids	39	invasion	39	-1.08	0.287	False
92	gamma	asteroids	39	underwood	39	-2.77	0.009	False
93	gamma	underwood	39	spaceship	39	4.33	0.0	True
94	gamma	underwood	39	invasion	39	2.06	0.046	False
95	gamma	underwood	39	asteroids	39	2.77	0.009	False
96	beta	spaceship	39	invasion	39	-1.0	0.324	False
97	beta	spaceship	39	asteroids	39	0.41	0.681	False
98	beta	spaceship	39	underwood	39	-2.47	0.018	False
99	beta	invasion	39	spaceship	39	1.0	0.324	False
100	beta	invasion	39	asteroids	39	1.26	0.217	False
101	beta	invasion	39	underwood	39	-1.46	0.153	False
102	beta	asteroids	39	spaceship	39	-0.41	0.681	False
103	beta	asteroids	39	invasion	39	-1.26	0.217	False
104	beta	asteroids	39	underwood	39	-2.56	0.014	False
105	beta	underwood	39	spaceship	39	2.47	0.018	False
106	beta	underwood	39	invasion	39	1.46	0.153	False
107	beta	underwood	39	asteroids	39	2.56	0.014	False
