Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	179.51	0.0	[219, 426, 169, 576]	True
arousal	Levene	48.93	0.0	[219, 426, 169, 576]	True
beta	Barlett	362.87	0.0	[219, 426, 169, 576]	True
beta	Levene	48.01	0.0	[219, 426, 169, 576]	True
frontal_alpha	Barlett	952.84	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	156.32	0.0	[219, 426, 169, 576]	True
frontal_theta	Barlett	982.44	0.0	[219, 426, 169, 576]	True
frontal_theta	Levene	73.15	0.0	[219, 426, 169, 576]	True
gamma	Barlett	989.44	0.0	[219, 426, 169, 576]	True
gamma	Levene	89.97	0.0	[219, 426, 169, 576]	True
hf-hrv	Barlett	27.7	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	10.35	0.0	[219, 426, 169, 576]	True
ibi	Barlett	14.92	0.002	[219, 426, 169, 576]	True
ibi	Levene	3.65	0.012	[219, 426, 169, 576]	True
posterior_alpha	Barlett	1078.98	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	114.43	0.0	[219, 426, 169, 576]	True
valence	Barlett	50.72	0.0	[219, 426, 169, 576]	True
valence	Levene	20.67	0.0	[219, 426, 169, 576]	True
