State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.57	219	0.0	True
0	beta	0.83	219	0.0	True
0	frontal_alpha	0.96	219	0.0	True
0	frontal_theta	0.97	219	0.0	True
0	gamma	0.65	219	0.0	True
0	hf-hrv	0.99	219	0.162	False
0	ibi	0.99	219	0.095	False
0	posterior_alpha	0.9	219	0.0	True
0	valence	0.83	219	0.0	True
1	arousal	0.77	426	0.0	True
1	beta	0.77	426	0.0	True
1	frontal_alpha	0.43	426	0.0	True
1	frontal_theta	0.92	426	0.0	True
1	gamma	0.39	426	0.0	True
1	hf-hrv	0.96	426	0.0	True
1	ibi	1.0	426	0.461	False
1	posterior_alpha	0.32	426	0.0	True
1	valence	0.9	426	0.0	True
2	arousal	0.81	169	0.0	True
2	beta	0.87	169	0.0	True
2	frontal_alpha	0.43	169	0.0	True
2	frontal_theta	0.94	169	0.0	True
2	gamma	0.77	169	0.0	True
2	hf-hrv	0.98	169	0.045	True
2	ibi	0.96	169	0.0	True
2	posterior_alpha	0.31	169	0.0	True
2	valence	0.81	169	0.0	True
3	arousal	0.64	576	0.0	True
3	beta	0.69	576	0.0	True
3	frontal_alpha	0.34	576	0.0	True
3	frontal_theta	0.89	576	0.0	True
3	gamma	0.57	576	0.0	True
3	hf-hrv	0.99	576	0.0	True
3	ibi	1.0	576	0.68	False
3	posterior_alpha	0.21	576	0.0	True
3	valence	0.77	576	0.0	True
