timestamp	posterior_alpha	state
0	-0.6838663546938532	0
1	-0.6780226769932199	0
2	-0.6526309112646123	0
3	-0.6817121916224091	0
4	-0.709471755385662	0
5	-0.7405014734642652	0
6	-0.7774080123635743	0
7	-0.5548631562548877	0
8	-0.3273918257812719	2
9	-0.48120699589683597	2
10	-0.6348625354680723	0
11	-0.5883992762162327	0
12	-0.5092352005334957	2
13	-0.4155471055225259	2
14	-0.49946843098325305	2
15	-0.47857200729001037	2
16	-0.43571432603021915	2
17	-0.5819490527819805	2
18	-0.4146952044285486	2
19	-0.29925192614686574	2
20	-0.45543310774318885	2
21	-0.5564419498012987	0
22	-0.6356017302144857	0
23	-0.6280877412208851	0
24	-0.4921098559254793	2
25	-0.407919785816943	2
26	-0.42360395481699636	2
27	-0.4761416445544391	2
28	-0.44256129807675487	2
29	-0.3582184369787058	2
30	-0.08866837751037523	2
31	-0.2700430171707948	2
32	-0.7102431205021731	0
33	-0.5769676434817744	0
34	-0.5700365816783864	0
35	-0.5860579553518364	0
36	-0.44703661819868695	2
37	-0.46727613245855487	2
38	-0.5369064570905648	2
39	-0.5582269173548916	2
40	-0.5161208231350944	2
41	-0.5931343335550165	0
42	-0.6406329486982423	0
43	-0.4497669222181147	2
44	-0.41378622696084844	2
45	-0.41712158698764157	2
46	-0.4736152471210359	2
47	-0.47070381330950545	2
48	-0.27575071715373073	2
49	0.19571667878637183	1
50	0.12376223003220993	1
51	-0.5110716953561686	2
52	-0.524853833001346	2
53	-0.42944375080837355	2
54	-0.4162746411303074	2
55	-0.23231559935968046	2
56	-0.3717904615057074	2
57	-0.616776585018062	2
58	-0.570550413178385	2
59	-0.4659585223364792	2
60	-0.39389411357061754	2
61	-0.32759667326113784	2
62	-0.3709421299516917	2
63	-0.41860419543317784	2
64	-0.40162620337617333	2
65	-0.25932018682362634	2
66	-0.24626321265763576	2
67	-0.4164408652338246	2
68	-0.4865714402576062	2
69	-0.5826866460961492	2
70	-0.5022374540856969	2
71	-0.34292789099768545	2
72	-0.3759162131536992	2
73	-0.56531186894438	2
74	-0.481986431110504	2
75	-0.46464616516013524	2
76	-0.6446723505360717	0
77	-0.627735541634019	0
78	-0.40001305711382845	2
79	-0.13633784263172039	1
80	0.3529729416641733	1
81	0.444543180734643	1
82	-0.03243992355137821	1
83	-0.3849046198507005	2
84	-0.5753697950485857	2
85	-0.4532907426582915	2
86	-0.3337760458638721	2
87	-0.5174693177658788	2
88	-0.5862785350421067	2
89	-0.12596098943410683	1
90	0.1954773878737273	1
91	-0.0615814750640527	1
92	-0.5587272884726062	0
93	-0.7532633573974922	0
94	-0.6665022781422331	0
95	-0.6877880031863838	0
96	-0.7608323226913222	0
97	-0.763472740297032	0
98	-0.2952714308408605	2
99	-0.22917070029842115	2
100	-0.6929128155270589	0
101	-0.8047401235075803	0
102	-0.7890214845855181	0
103	-0.6397170713239747	0
104	-0.47153167399879165	2
105	-0.22975796676263896	2
106	-0.38139914172121725	2
107	-0.7373154287280933	0
108	-0.7458530911774821	0
109	-0.7454696782263517	0
110	-0.7523898321809716	0
111	-0.6900331647466876	0
112	-0.4433145729504118	2
113	-0.2666029056289384	2
114	-0.5149268745195589	2
115	-0.7576732448327127	0
116	-0.582573533591024	0
117	-0.5116136395382989	0
118	-0.6658071147447572	0
119	-0.4357038628340112	2
120	-0.2711423134853403	2
121	0.12532823894008718	1
122	0.1130589137498115	1
123	-0.4977055229071571	2
124	-0.5561136337737042	2
125	-0.5718979640446946	2
126	-0.529556983676969	2
127	-0.31477507750275735	2
128	-0.011025118191561665	1
129	0.07522892458065308	1
130	-0.2683300870515601	1
131	2.471116889817374	3
132	3.1908064585774127	3
133	0.13852639257268776	1
134	-0.4379653944291359	2
135	-0.2995417001178442	2
136	-0.4803785013379732	2
137	-0.17003905494454466	1
138	0.2302168633592515	1
139	-0.12448453009737842	1
140	1.1354147892662672	3
141	1.6659088659742167	3
142	0.24161931584009888	1
143	0.5424817605770951	1
144	0.6430315693519278	1
145	-0.2999619262856613	2
146	-0.72662180712646	0
147	-0.6791420538276702	0
148	-0.4823145207328518	2
149	-0.48696793289753904	2
150	-0.6056448557218909	0
151	-0.5526866346456408	0
152	-0.6098699881914182	0
153	-0.6145728256948886	0
154	-0.5520917158554147	0
155	-0.5949583848497364	0
156	-0.4432527546224334	2
157	-0.3178828491000368	2
158	-0.309557407938455	2
159	-0.24108121033877974	2
160	-0.24346846263897956	2
161	-0.31308324241289537	2
162	-0.5251664573293023	2
163	-0.676267051443931	0
164	-0.6059416564050698	0
165	-0.6315687876814555	0
166	-0.7021273847466318	0
167	-0.7382899493907066	0
168	-0.7520532004343079	0
169	-0.7438756617441177	0
170	-0.7387182272135009	0
171	-0.5711479773918655	0
172	-0.5450663816796152	0
173	-0.704555191625075	0
174	-0.6862362709314469	0
175	-0.6071915654833155	0
176	-0.6528515113876838	0
177	-0.65615192470841	0
178	-0.4898209730134214	2
179	-0.23322009561701185	2
180	-0.34556161381573164	2
181	-0.6874909268867344	0
182	-0.665916353944626	0
183	-0.6491290898818747	0
184	-0.7402787864007211	0
185	-0.6257704170467647	0
186	-0.3206331722509186	2
187	-0.26874561892489	2
188	-0.5017046252076378	2
189	-0.5266236105558313	2
190	-0.38632819587478406	2
191	-0.4351011698817823	2
192	-0.5703596256708249	0
193	-0.6485076005697549	0
194	-0.6293463059919765	0
195	-0.5904656465245103	0
196	-0.6618044515024187	0
197	-0.6580891453599764	0
198	-0.5826530907225398	0
199	-0.6055503453521437	0
200	-0.6549850068539823	0
201	-0.41257530424436195	2
202	-0.07236105938153074	2
203	-0.31369822923495505	2
204	-0.6602874747679678	0
205	-0.6734110341473535	0
206	-0.627301843809211	0
207	-0.6021343474909407	0
208	-0.4448822580802626	2
209	0.09847180376056099	1
210	0.24243876100376233	1
211	-0.36417862073682095	2
212	-0.6680981142129121	0
213	-0.6188820756369963	0
214	-0.6228464354415458	0
215	-0.6248715803737336	0
216	-0.6155354408991852	0
217	-0.45762880057876554	2
218	-0.5110189276802666	2
219	4.056175563863757	3
220	4.706869700642844	3
221	0.46578108379398325	1
222	-0.20964705855166876	2
223	-0.7016495538749834	0
224	-0.6338616542718803	0
225	-0.49541364375313846	2
226	-0.387960313782641	2
227	-0.4813426511268101	2
228	-0.351137505456703	2
229	-0.3886039462065329	2
230	-0.6955163463613092	0
231	-0.7231775703884389	0
232	-0.6741285567474354	0
233	1.164977842882199	3
234	1.6536918816756248	3
235	-0.08226907738579638	1
236	-0.3438770403234828	1
237	-0.1007466336509398	1
238	1.1009871584232294	1
239	0.8323461399377818	1
240	-0.3780511880196742	1
241	-0.23760476085409496	1
242	-0.055722435575186316	1
243	-0.13667744706889184	1
244	-0.5456775150653631	2
245	-0.5295107533911245	2
246	-0.36506153007645714	2
247	-0.39712495464833214	2
248	-0.5480454369898347	2
249	-0.26042676700920764	2
250	-0.03930857835612759	2
251	-0.2929836459371243	2
252	-0.4890318935081865	2
253	-0.6413709143895423	0
254	-0.723826602717306	0
255	-0.7636134278181455	0
256	-0.6912314490547061	0
257	-0.20129085440591804	2
258	-0.11069766356046026	2
259	-0.5781747274973708	2
260	-0.42698078862355077	2
261	-0.2038264334513011	2
262	0.10796560558566509	1
263	-0.029938986787958383	1
264	-0.6693021546004698	0
265	-0.6913524463220512	0
266	-0.5290621594431502	2
267	-0.3665339023613008	2
268	-0.41440744273596586	2
269	-0.5941888580898945	0
270	-0.6179842453927997	0
271	-0.5449974465835895	0
272	-0.5638063197838007	0
273	-0.52541595737263	2
274	-0.47405156678858223	2
275	-0.5977343997813218	2
276	-0.36661851359695596	2
277	-0.04643391454400279	2
278	-0.28877431033700673	2
279	-0.6001991957560271	0
280	-0.7136590245787806	0
281	-0.6462134939691665	0
282	-0.6711438241225172	0
283	-0.7783150936975101	0
284	-0.6108888239194168	0
285	-0.3971170137348166	2
286	-0.20897581856030392	2
287	-0.2227582044313146	2
288	-0.2980536180724435	2
289	-0.3926564370579179	2
290	-0.5618023240440653	2
291	-0.4341845890281605	2
292	-0.4823524451981163	2
293	-0.6459342516276035	2
294	-0.44957760023697185	2
295	-0.4226271954582608	2
296	0.00964487532865834	1
297	0.19832558921226706	1
298	0.6314563769327479	1
299	2.0629529594018474	3
300	1.806948601219365	3
301	0.2497912460007288	1
302	-0.3947382530842491	2
303	-0.3998703759340938	2
304	-0.5662928235918326	0
305	-0.6800997868123406	0
306	-0.6562467983781967	0
307	-0.6453165838321044	0
308	-0.657657651089739	0
309	-0.6781063796006891	0
310	-0.6793757232552662	0
311	-0.6464806977823598	0
312	-0.004011703554194253	1
313	-0.022655421161042515	1
314	-0.695462331703825	0
315	-0.674463914576741	0
316	-0.5748139964603628	0
317	-0.5916969355954523	0
318	-0.6764325958903055	0
319	-0.6986728709272257	0
320	-0.3666895790715336	2
321	-0.31387547759460777	2
322	-0.11605180304780291	2
323	-0.17507069633927094	2
324	-0.6863707132561759	0
325	-0.6584797839729631	0
326	-0.5934241995597253	0
327	-0.6234179046126824	0
328	-0.6927695877907164	0
329	-0.7201499687801616	0
330	-0.46842684670019386	2
331	-0.3538270453598393	2
332	-0.41765180859456924	2
333	-0.3033904748835821	2
334	-0.397954308297515	2
335	-0.4164123425218093	2
336	-0.4203296027174258	2
337	-0.6632546721491674	0
338	-0.7633178238934211	0
339	-0.6746955301424494	0
340	-0.6541083494861969	0
341	-0.6701605915712071	0
342	-0.04663705362373376	1
343	0.0008807274771943065	1
344	-0.3778635759778689	2
345	-0.4704465881054378	2
346	-0.636294430919042	2
347	-0.3937655019557135	2
348	-0.3205466456689488	2
349	0.1652652991210489	1
350	0.7055465720851369	1
351	0.11358412950548072	1
352	-0.3989563636989335	2
353	-0.2666045842451521	2
354	0.21921300227203175	1
355	0.25467960365675063	1
356	1.0331666268200281	1
357	0.95453711955352	1
358	-0.3045282304281217	2
359	-0.3342309475650203	2
360	-0.3502460040439845	2
361	-0.12647807401053174	1
362	-0.10606223890275157	1
363	-0.05402891570711504	1
364	0.49056932057308766	1
365	0.46469317593805703	1
366	-0.07711490445754705	1
367	-0.29853017649332414	1
368	-0.07356929446004062	1
369	0.015979476632889844	1
370	-0.2612053306729231	1
371	0.21186039788478556	1
372	0.4267456664292081	1
373	-0.19058729396314755	2
374	-0.3788760480503638	2
375	-0.39389451162198613	2
376	0.6494889478548915	1
377	2.1217366426821513	3
378	2.228446998482867	3
379	1.33652928628861	3
380	1.1434484898366424	3
381	0.9859075223058139	3
382	0.22965471279454805	1
383	-0.24131439420740328	2
384	-0.4408590395604454	2
385	-0.16446642823353952	1
386	-0.06766254703084842	1
387	-0.024726495970841256	1
388	-0.09894078480378514	1
389	-0.29345141122756574	1
390	0.33035545452457615	1
391	0.270207597726087	1
392	-0.3331884724694205	2
393	-0.3767190528487495	2
394	-0.49142590506294176	2
395	-0.43672954793875624	2
396	0.2852477647717296	1
397	0.2563994608348591	1
398	-0.2994680654676549	2
399	-0.37167023676424565	2
400	-0.5312179720404965	2
401	0.23873460686696457	1
402	2.965257764891625	3
403	2.6938339843942374	3
404	2.7902033725330355	3
405	4.362757194204374	3
406	2.2481330094800662	3
407	0.22698141897074883	1
408	-0.41478326048415703	1
409	2.326658758816871	3
410	6.064097254937018	3
411	4.329558335996858	3
412	0.5742613430197127	1
413	-0.43883084064479755	2
414	-0.3951762084167882	2
415	0.869323056651383	1
416	2.135315697548787	3
417	1.530318355366905	3
418	0.2241752951489549	1
419	0.22920902951531674	1
420	0.6515274331592837	1
421	-0.04408469864092258	1
422	-0.3905692793440275	2
423	-0.3088960645367224	2
424	-0.2839289560060801	2
425	-0.23670024382306415	2
426	0.1279767861418352	1
427	0.3832400939989617	1
428	0.038390201545401965	1
429	-0.0860485781120245	1
430	0.14112760594824342	1
431	4.942896584860023	3
432	5.077865081812203	3
433	0.08128861339017468	1
434	-0.4671071885788854	2
435	-0.5702366223626308	2
436	-0.5321608538845479	2
437	-0.470026901692823	2
438	-0.6005917085153762	0
439	-0.7128676937065812	0
440	-0.6428865823679674	0
441	-0.615079180051279	0
442	-0.7466720521318765	0
443	-0.6920816004720456	0
444	-0.6106399777777214	0
445	-0.5451736149910905	0
446	-0.603536590808562	0
447	-0.7635686205119643	0
448	-0.7294860623442182	0
449	-0.6307728465286982	0
450	-0.5863387855735855	0
451	-0.6587960564081341	0
452	-0.7068033839681716	0
453	-0.6861099207150317	0
454	-0.6808490358422721	0
455	-0.6353657411794783	0
456	-0.6207373639152961	0
457	-0.680575792025309	0
458	-0.6471015142543126	0
459	-0.6596173341778769	0
460	-0.714808273191718	0
461	-0.6706614523272888	0
462	-0.6148573171662769	0
463	-0.4615596115749906	2
464	-0.2037411576857161	2
465	-0.31734118552152896	2
466	-0.4525939196163463	2
467	-0.3999724998571849	2
468	-0.5570914507695938	0
469	-0.6882825874341807	0
470	-0.6485247712821128	0
471	-0.4989400317179646	2
472	-0.5106861602004673	2
473	-0.616001020604465	0
474	-0.6105779897816045	0
475	0.4161174088327993	1
476	0.5746359900569707	1
477	-0.3193353280901866	2
478	-0.5567320832681879	2
479	-0.11844577090595575	1
480	-0.0725719097274944	1
481	-0.3649066197924498	1
482	-0.1452833553912262	1
483	-0.11251909702255276	1
484	-0.37346625607511785	2
485	-0.6950846209472642	0
486	-0.6519536947833608	0
487	-0.5991216148791381	0
488	-0.5592750650414833	0
489	-0.33634538022947746	2
490	-0.19625943717884864	2
491	0.7512439120126504	1
492	0.6214146448262828	1
493	-0.645576642830483	0
494	-0.6141055579306786	0
495	-0.5440789403064138	0
496	-0.6709103069851018	0
497	-0.7234065804028689	0
498	-0.6829624457671613	0
499	-0.6525984878126666	0
500	-0.6750392137961456	0
501	-0.6470517767027639	0
502	-0.536395818467363	0
503	-0.569050138293152	0
504	-0.5845013396794697	0
505	-0.16656177093165206	2
506	-0.2862738482180517	2
507	-0.7712594660158804	0
508	-0.7484866390286917	0
509	-0.7272349829328111	0
510	-0.6295714417014486	0
511	-0.5509784567989341	0
512	-0.5828078671722868	0
513	-0.6432416392049867	0
514	-0.7527286500210171	0
515	-0.7496297942013388	0
516	-0.5976751895154636	0
517	-0.5521229495322424	0
518	-0.6870927529115789	0
519	-0.31760325495775665	2
520	0.08391775093895572	1
521	1.3359721636642778	3
522	1.105165453167153	3
523	-0.26128658788466763	1
524	-0.11214738523385777	1
525	1.2786587096089979	3
526	2.9738977913222477	3
527	5.086810273591941	3
528	3.6159869566609504	3
529	-0.1692022504609433	1
530	-0.6025231381295193	2
531	-0.5334883162436413	2
532	-0.5619269028055559	2
533	-0.5389872494458586	2
534	-0.6180313725877372	2
535	-0.41071355273060334	2
536	-0.3802940139392556	2
537	-0.5971190689412487	0
538	-0.5486339588272637	0
539	-0.6021457600849383	0
540	-0.6716754208770962	0
541	-0.7331490137913445	0
542	-0.42883865893352446	2
543	-0.09805486370069999	1
544	3.0952432511980104	3
545	2.849396962185885	3
546	-0.648329346636704	0
547	-0.7384444077914818	0
548	-0.6706015966614793	0
549	-0.6347996596452457	0
550	-0.6631195955455012	0
551	-0.7324225898348943	0
552	-0.67791402078672	0
553	-0.6645547007591981	0
554	-0.7403349353918447	0
555	-0.43510881542620605	2
556	0.3529956230472683	1
557	0.17806895196349445	1
558	-0.5766214937694948	0
559	-0.7130939537884479	0
560	-0.6290259995064444	0
561	-0.6259327138819688	0
562	-0.6688079897414786	0
563	-0.6106032030700709	0
564	-0.7086316281132835	0
565	-0.7232401104204165	0
566	-0.24530847892228405	2
567	-0.2528007667621943	2
568	-0.7180185720323797	0
569	-0.6590665167729318	0
570	-0.007186799215820287	1
571	0.4846822256420478	1
572	-0.02643573418131119	1
573	-0.14617614307559143	1
574	0.03930251673110681	1
575	1.1666865754589566	3
576	1.69586077022074	3
577	0.16005043942408975	1
578	-0.18205726408971476	1
579	-0.11855067763673875	1
580	0.33252685461027215	1
581	0.63270985343063	1
582	-0.1374274772336991	1
583	-0.3520602277386236	2
584	-0.4779515807716099	2
585	-0.6665548024955765	0
586	-0.5634135691579512	0
587	-0.19111008973948698	2
588	-0.1503476501653057	2
589	-0.447420176051267	2
590	-0.29994652631995317	2
591	1.6145522738916998	3
592	1.792809416180539	3
593	-0.10871789178799249	1
594	-0.3502561031287246	1
595	-0.06845347611175942	1
596	-0.3645316409147146	1
597	0.06764574396785063	1
598	0.13254438705216792	1
599	-0.31647410038494783	1
600	1.7385850722916	3
601	2.378972843514049	3
602	0.5576791172433891	1
603	-0.24144523534162107	2
604	-0.563111036028891	2
605	-0.35811750030570516	2
606	0.20116658941593565	1
607	1.4895538945131794	3
608	1.3759571568902258	3
609	-0.25593611602400756	2
610	-0.6250975206098018	0
611	-0.6149539206382305	0
612	-0.24508432216464376	2
613	-0.1873477645534107	2
614	-0.5807455634862587	2
615	-0.5082677721986141	2
616	-0.5245144137137038	2
617	-0.41693289230194225	2
618	-0.32265984251663815	2
619	-0.42745265142079614	2
620	-0.2903805571460044	2
621	-0.407408007442331	2
622	-0.4320705746278321	2
623	-0.4464606351657635	2
624	-0.3893552227826529	2
625	-0.19966529714567297	1
626	3.0783399624695322	3
627	3.4470357644081497	3
628	1.21018108113409	3
629	0.9633008540728077	3
630	-0.2195878667535949	1
631	-0.4484534052732943	2
632	-0.5012115018769834	2
633	-0.6967308443236646	0
634	-0.6848670566519188	0
635	-0.6076538577413608	0
636	-0.7091149763631834	0
637	-0.6233737627877959	0
638	-0.4472923384298364	2
639	-0.06268114053382506	1
640	-0.001938880249649301	1
641	-0.47044091873427113	2
642	-0.41293800257554264	2
643	-0.3984771967453733	2
644	-0.6674060975661606	0
645	-0.6880013354375843	0
646	-0.7395156031242892	0
647	-0.7393238781610085	0
648	-0.7682937318348965	0
649	-0.7479881821118748	0
650	-0.5045755761645929	2
651	-0.14621951698886834	1
652	0.05677870981251941	1
653	-0.18080688767244285	1
654	-0.5205600175604725	1
655	0.13100251876266367	1
656	3.964656985798418	3
657	5.012445638649001	3
658	1.208051397161791	3
659	-0.6095076214862322	2
660	-0.5631240133581301	2
661	0.11800672887539693	1
662	0.510961402827159	1
663	0.2255613540595966	1
664	-0.200521577723211	2
665	-0.6231577853763556	2
666	-0.5151529239095004	2
667	-0.5220120799121332	2
668	-0.5903200513809683	2
669	-0.4400705302228108	2
670	-0.2945137341445116	2
671	-0.0953491076475871	1
672	0.4226790584864706	1
673	1.5981795684624014	3
674	2.227374803840032	3
675	0.9277966361036285	3
676	-0.4041492332852734	1
677	0.23172282273828249	1
678	0.5333577385540574	1
679	0.4791080356688886	1
680	0.737725971760837	1
681	0.020488307027806824	1
682	-0.4490570191381661	2
683	-0.41884030451850074	2
684	-0.5670150886381379	2
685	0.8130309755088897	1
686	2.9704834651312657	3
687	2.2205040026059284	3
688	1.6686839252639474	3
689	1.0790111311588855	3
690	-0.45961256916327176	2
691	-0.287141699438862	2
692	0.45752764649019306	1
693	0.7615039711434484	1
694	0.6373703715740571	1
695	0.6568043523187014	1
696	0.30056750713881064	1
697	-0.13503419932325267	1
698	-0.052960037386739926	1
699	0.004592428192151941	1
700	0.023729265384670514	1
701	-0.05820995890629682	1
702	-0.3417098696424242	1
703	0.657200151578647	1
704	0.7449012482852103	1
705	-0.018982748363801392	1
706	0.27423788918602976	1
707	-0.12405013838589415	1
708	-0.618868766329	0
709	-0.6594786359319601	0
710	-0.7093980391464069	0
711	-0.6498559208358764	0
712	-0.6928734763187625	0
713	-0.7670747083148288	0
714	-0.6604140021027491	0
715	-0.5472501373722305	0
716	-0.6315441360000517	0
717	-0.7296680310516579	0
718	-0.6780922466467204	0
719	-0.575508022272514	0
720	2.085270770592787	3
