timestamp	posterior_alpha	frontal_alpha	frontal_theta	gamma	beta	state
0	-0.6838663546938532	-0.6809562962313719	0.33238051316325146	-0.6427990526748578	-0.7508153496418698	0
1	-0.6780226769932199	-0.7442194949566804	0.6913987355508268	-0.7219362380494356	-0.801492018303723	0
2	-0.6526309112646123	-0.7484151701038005	0.23768431305861495	-0.6902568362339062	-0.6380838256751602	0
3	-0.6817121916224091	-0.7300014909931988	-0.40861709942751523	-0.6620844202814927	-0.6197291554875556	0
4	-0.709471755385662	-0.7165884199742331	-0.22798275877176621	-0.7323211059314444	-0.7647908636110488	0
5	-0.7405014734642652	-0.7844620603903111	-0.17822926623935056	-0.7507843742855349	-0.958131514344336	0
6	-0.7774080123635743	-0.8426170743604895	-0.033838454114347244	-0.639834679931194	-0.9523843573936289	0
7	-0.5548631562548877	-0.648944939426018	-0.21514559948106304	-0.34719291055340257	0.04859552862831004	0
8	-0.3273918257812719	-0.44160540395071285	-0.21892040989731398	-0.14699351893386498	0.4360612443102548	0
9	-0.48120699589683597	-0.5460309795886901	-0.26949905183711065	-0.4158462782731342	-0.20209662657236496	0
10	-0.6348625354680723	-0.7456111640495499	-0.16379805400259903	-0.7301245614554461	-0.3951346417055504	0
11	-0.5883992762162327	-0.7219021115752232	0.22209324127685162	-0.6176834657057356	-0.3499659168398814	0
12	-0.5092352005334957	-0.5831689022275699	-0.06667676448346367	-0.5592457565133498	-0.38538974361207967	0
13	-0.4155471055225259	-0.42681444604519386	-0.23124879272410478	-0.572065417759049	-0.5118041805833584	0
14	-0.49946843098325305	-0.4850923355974291	0.05531690864386562	-0.5464385955405757	-0.6828493388353115	0
15	-0.47857200729001037	-0.18162010162289113	0.4431213781622656	-0.5715419561024488	-0.5918066885011584	0
16	-0.43571432603021915	-0.1480437832369449	0.40216693249591456	-0.6440041788165228	-0.5329162664068977	0
17	-0.5819490527819805	-0.5780654635246607	-0.1735364308860888	-0.6712616901219184	-0.7008989393835962	0
18	-0.4146952044285486	-0.46014091877736174	-0.21463523519479483	-0.6574715476992358	-0.6066433187834852	0
19	-0.29925192614686574	-0.3008231167958962	-0.030796522854633555	-0.6551935381742999	-0.20620442559777277	0
20	-0.45543310774318885	-0.5245810845477923	-0.22574348911690495	0.20253445036461726	0.112071503135798	0
21	-0.5564419498012987	-0.7377256915817105	-0.20196060467252513	0.2531949954037716	-0.20452317210706158	0
22	-0.6356017302144857	-0.7089671963368869	-0.1725416056124573	-0.5621422360935716	-0.6561383265418735	0
23	-0.6280877412208851	-0.599514248960185	-0.1771810814185647	-0.6521932865977753	-0.7667529070169755	0
24	-0.4921098559254793	-0.3937555321467426	-0.1638325590942055	-0.7291467290419872	-0.9144204192162098	0
25	-0.407919785816943	-0.263499396255367	-0.09590566836220747	-0.7444469079233633	-0.6174965502770312	0
26	-0.42360395481699636	-0.46024856306781103	-0.2010651491818676	-0.4192461923385008	0.08194520310063161	0
27	-0.4761416445544391	-0.5649502095278292	-0.2906337279192565	-0.27227658108818215	-0.11207281960110237	0
28	-0.44256129807675487	-0.23699925365881205	-0.17014256995059027	-0.5208107200966369	-0.7344263601083546	0
29	-0.3582184369787058	-0.23470966982003888	-0.4349541428514055	-0.5143805195815534	-0.8035398390930932	0
30	-0.08866837751037523	-0.012702752382065129	-0.5159750842196278	-0.5825804934124095	-0.42056679577114886	3
31	-0.2700430171707948	-0.042751749901572496	-0.32080733211646356	-0.7105948384718462	-0.4192783126879368	3
32	-0.7102431205021731	-0.5718482194211054	-0.514657443869412	-0.6833447814922589	-0.858256637198987	0
33	-0.5769676434817744	-0.5607306690389543	-0.5069834812889418	-0.6989884316693407	-0.924578239146353	0
34	-0.5700365816783864	-0.6488832464480302	-0.07928597551674176	-0.7486108711480078	-0.9225167404024467	0
35	-0.5860579553518364	-0.6252286229269771	-0.008427800965509095	-0.7772675863599565	-0.9024503694990278	0
36	-0.44703661819868695	-0.4924755207187155	-0.237847567423981	-0.7530766910195641	-0.9299834453454497	0
37	-0.46727613245855487	-0.5005811454315123	-0.2242155299387529	-0.6946178567099982	-0.9329669228111993	0
38	-0.5369064570905648	-0.545104307301011	-0.16401387180807406	-0.7129999015050722	-0.6216900572540868	0
39	-0.5582269173548916	-0.6306027315857231	-0.4007819851492486	-0.7889135101716898	-0.6414203490501006	0
40	-0.5161208231350944	-0.436515091016954	-0.4113025700354339	-0.6745265698562228	-0.6130394884962644	0
41	-0.5931343335550165	-0.5037036685489027	-0.39820342181605267	-0.6734129669222014	-0.4250833845018017	0
42	-0.6406329486982423	-0.6823809412920406	-0.6291218636452395	-0.807032671767798	-0.6449115359118888	0
43	-0.4497669222181147	-0.33938616500044494	-0.3493933249028038	-0.8038916376452452	-0.8728194853966247	0
44	-0.41378622696084844	-0.12725842114944438	0.02927208377072639	-0.6717281033179299	-0.7888466342667769	0
45	-0.41712158698764157	-0.11802770605721434	-0.0723126166640712	-0.7082185159260621	-0.6842303897578071	0
46	-0.4736152471210359	-0.23442468054017934	-0.5593855226569889	-0.8282289965390708	-0.751148492887004	0
47	-0.47070381330950545	-0.30369444260207845	-0.8016914723253872	-0.7763673147831299	-0.4759239550228355	0
48	-0.27575071715373073	-0.08209065112489648	-0.5410114646242629	-0.5694507595992928	-0.23804861204816738	3
49	0.19571667878637183	0.23775605152789034	-0.23179598021400963	-0.4567059712758176	-0.09971229747306483	3
50	0.12376223003220993	0.2230211543490585	-0.31469896065200736	-0.6101394987896492	-0.3122506108371341	3
51	-0.5110716953561686	-0.2306166780868211	-0.3141161114486759	-0.6807167830664796	-0.7849988940916586	0
52	-0.524853833001346	-0.38513009346398286	-0.39654725625066833	-0.6870851513483949	-0.8158163289641001	0
53	-0.42944375080837355	-0.3773311103454082	-0.6387873295978305	-0.7263201744576032	-0.8494441239284061	0
54	-0.4162746411303074	-0.33180791742037075	-0.5395429418208986	-0.7466968049320682	-0.6132707459159609	0
55	-0.23231559935968046	-0.14335876110776732	-0.40710273297634403	-0.6880688260214346	-0.25276714722056043	0
56	-0.3717904615057074	-0.3007214291589093	0.36651498008538913	-0.6967525442155158	-0.489350262228642	0
57	-0.616776585018062	-0.5001209032357177	0.3176064659879881	-0.7679274303710943	-0.602234163253282	0
58	-0.570550413178385	-0.4886393699720403	-0.5642997077629786	-0.7949849234072911	-0.5371392543902296	0
59	-0.4659585223364792	-0.43991682766880474	-0.49543232552327227	-0.8021587184672448	-0.26640093292206846	0
60	-0.39389411357061754	-0.34401170655998964	-0.2954776444891328	-0.7804088663393977	-0.1580854999877312	0
61	-0.32759667326113784	0.032615392630668406	-0.46191536471276845	-0.6933007399541984	-0.4456361617545485	0
62	-0.3709421299516917	-0.10621976260601591	-0.5120709531266757	0.7600570801436304	0.06258260241878413	2
63	-0.41860419543317784	-0.5220640453945656	-0.045281214009307534	1.56026186486079	0.47430268674178433	2
64	-0.40162620337617333	-0.5457303632963898	0.5253336995559108	1.2414720135119595	0.9234163349864467	2
65	-0.25932018682362634	-0.41020778408253966	0.9052495606862868	1.389060001848448	1.342529755657773	2
66	-0.24626321265763576	-0.4435403486847193	0.31545904103496736	0.32378381849442484	0.25142030542345783	2
67	-0.4164408652338246	-0.49905251178052235	-0.5415835509916541	-0.6934284732821173	-0.8096214368491935	0
68	-0.4865714402576062	-0.42555773603244446	-0.5283326924366637	-0.7393225928380922	-0.8244564443606331	0
69	-0.5826866460961492	-0.5649690311788064	0.04173224499551083	-0.7045112834789002	-0.7732890694237783	0
70	-0.5022374540856969	-0.4919914816580764	0.24341571649864274	-0.8038104626288568	-0.712960496327942	0
71	-0.34292789099768545	-0.4838837828102783	-0.3130002955547247	-0.8194832018079582	-0.6339851867374537	0
72	-0.3759162131536992	-0.5758196716533762	-0.3406599637690857	-0.7050148189504487	-0.8236248759461937	0
73	-0.56531186894438	-0.6094892571009853	-0.10655706466045478	-0.5524538906093667	-0.7440110903603856	0
74	-0.481986431110504	-0.24379542579297359	0.03777460523619553	-0.5792660200744023	-0.5245898068522636	0
75	-0.46464616516013524	-0.29186848977426094	-0.30444072758107166	-0.7414926796343263	-0.5554042240074486	0
76	-0.6446723505360717	-0.6449713864440539	-0.8787426320891942	-0.7914969250556214	-0.8953076653121069	0
77	-0.627735541634019	-0.5300988119076333	-0.8846154967312032	-0.7623399117989319	-0.9849838513042669	0
78	-0.40001305711382845	-0.24619099250136772	-0.4361208256028006	-0.6617418433155621	-0.6226359198845198	0
79	-0.13633784263172039	0.09967342488734014	-0.34574745886319547	-0.7202887081842163	-0.5696945634023398	3
80	0.3529729416641733	0.17941189039176283	-0.5882715789859516	-0.7244552617240718	-0.7026879114184016	3
81	0.444543180734643	0.013992790972851011	-0.6079487383070241	-0.6469102787359148	-0.42216050174721587	3
82	-0.03243992355137821	-0.07165849783322768	-0.7266864805302542	-0.6705178085686937	-0.233686629246852	3
83	-0.3849046198507005	-0.293225717827433	-0.20973438895549723	-0.7353475347800936	-0.6083945997509999	0
84	-0.5753697950485857	-0.6121980470650809	0.03878013007782735	-0.7905003553518009	-0.8527334748214256	0
85	-0.4532907426582915	-0.4189124363768975	-0.4221810957041848	-0.7494549956614487	-0.6537657840374155	0
86	-0.3337760458638721	-0.04381288304802177	0.6484488584014863	-0.7175219206800855	-0.6673092534847946	3
87	-0.5174693177658788	-0.3057310212258547	1.0146182856876893	-0.6784565010573493	-0.806300272375535	3
88	-0.5862785350421067	-0.7163090154735404	-0.33185400241724344	-0.09469031465776113	0.37449738888722733	3
