Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	1845.14	0.0	[239, 120, 100, 931]	True
beta	Levene	188.38	0.0	[239, 120, 100, 931]	True
frontal_alpha	Barlett	3773.08	0.0	[239, 120, 100, 931]	True
frontal_alpha	Levene	940.55	0.0	[239, 120, 100, 931]	True
frontal_theta	Barlett	3340.9	0.0	[239, 120, 100, 931]	True
frontal_theta	Levene	21.37	0.0	[239, 120, 100, 931]	True
gamma	Barlett	3031.44	0.0	[239, 120, 100, 931]	True
gamma	Levene	169.53	0.0	[239, 120, 100, 931]	True
posterior_alpha	Barlett	3396.05	0.0	[239, 120, 100, 931]	True
posterior_alpha	Levene	770.61	0.0	[239, 120, 100, 931]	True
