Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	845.93	0.0	[230, 138, 575, 447]	True
beta	Levene	2.51	0.057	[230, 138, 575, 447]	False
frontal_alpha	Barlett	184.98	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	10.41	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	6.46	0.091	[230, 138, 575, 447]	False
frontal_theta	Levene	0.09	0.965	[230, 138, 575, 447]	False
gamma	Barlett	718.2	0.0	[230, 138, 575, 447]	True
gamma	Levene	1.94	0.121	[230, 138, 575, 447]	False
hf-hrv	Barlett	272.78	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	14.44	0.0	[230, 138, 575, 447]	True
ibi	Barlett	51.71	0.0	[230, 138, 575, 447]	True
ibi	Levene	11.16	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	230.81	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	11.72	0.0	[230, 138, 575, 447]	True
