State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.5	230	0.0	True
0	frontal_alpha	0.86	230	0.0	True
0	frontal_theta	0.97	230	0.0	True
0	gamma	0.21	230	0.0	True
0	hf-hrv	0.96	230	0.0	True
0	ibi	0.92	230	0.0	True
0	posterior_alpha	0.75	230	0.0	True
1	beta	0.93	138	0.0	True
1	frontal_alpha	0.7	138	0.0	True
1	frontal_theta	0.94	138	0.0	True
1	gamma	0.73	138	0.0	True
1	hf-hrv	0.94	138	0.0	True
1	ibi	0.91	138	0.0	True
1	posterior_alpha	0.56	138	0.0	True
2	beta	0.94	575	0.0	True
2	frontal_alpha	0.64	575	0.0	True
2	frontal_theta	0.93	575	0.0	True
2	gamma	0.78	575	0.0	True
2	hf-hrv	0.98	575	0.0	True
2	ibi	0.96	575	0.0	True
2	posterior_alpha	0.47	575	0.0	True
3	beta	0.56	447	0.0	True
3	frontal_alpha	0.79	447	0.0	True
3	frontal_theta	0.93	447	0.0	True
3	gamma	0.36	447	0.0	True
3	hf-hrv	0.99	447	0.011	True
3	ibi	0.99	447	0.14	False
3	posterior_alpha	0.54	447	0.0	True
