State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.95	279	0.0	True
0	frontal_alpha	0.99	279	0.024	True
0	frontal_theta	0.98	279	0.002	True
0	gamma	0.89	279	0.0	True
0	posterior_alpha	0.96	279	0.0	True
1	beta	0.98	204	0.015	True
1	frontal_alpha	0.92	204	0.0	True
1	frontal_theta	0.77	204	0.0	True
1	gamma	0.95	204	0.0	True
1	posterior_alpha	0.94	204	0.0	True
2	beta	0.37	67	0.0	True
2	frontal_alpha	0.98	67	0.208	False
2	frontal_theta	0.71	67	0.0	True
2	gamma	0.53	67	0.0	True
2	posterior_alpha	0.54	67	0.0	True
3	beta	0.99	840	0.006	True
3	frontal_alpha	0.98	840	0.0	True
3	frontal_theta	0.95	840	0.0	True
3	gamma	0.99	840	0.0	True
3	posterior_alpha	0.98	840	0.0	True
